,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,7.35800000,7.35800000,7.58460000,7.58460000,7.23370000,7.23370000,7.31430000,7.31430000,171817.65000000,171817.65000000
2020-08-29,7.94200000,7.94200000,7.94200000,7.94200000,7.21430000,7.21430000,7.36950000,7.36950000,850168.72000000,850168.72000000
2020-08-28,8.33000000,8.33000000,8.38360000,8.38360000,7.39000000,7.39000000,7.94200000,7.94200000,894923.80000000,894923.80000000
2020-08-27,9.61500000,9.61500000,10.38000000,10.38000000,7.21010000,7.21010000,8.33660000,8.33660000,2369819.02000000,2369819.02000000
2020-08-26,7.25990000,7.25990000,10.88880000,10.88880000,7.13610000,7.13610000,9.61500000,9.61500000,3238367.16000000,3238367.16000000
2020-08-25,6.87960000,6.87960000,7.60640000,7.60640000,6.45010000,6.45010000,7.27540000,7.27540000,1487728.97000000,1487728.97000000
2020-08-24,6.15250000,6.15250000,7.35950000,7.35950000,6.15250000,6.15250000,6.87230000,6.87230000,1761648.06000000,1761648.06000000
2020-08-23,5.35080000,5.35080000,6.36720000,6.36720000,5.14730000,5.14730000,6.15250000,6.15250000,1206057.83000000,1206057.83000000
2020-08-22,4.93180000,4.93180000,5.55000000,5.55000000,4.58000000,4.58000000,5.35370000,5.35370000,769000.52000000,769000.52000000
2020-08-21,5.34300000,5.34300000,5.34810000,5.34810000,4.78020000,4.78020000,4.90370000,4.90370000,461136.39000000,461136.39000000
2020-08-20,5.25410000,5.25410000,5.54450000,5.54450000,4.96080000,4.96080000,5.36270000,5.36270000,452362.14000000,452362.14000000
2020-08-19,5.75360000,5.75360000,5.92710000,5.92710000,5.07140000,5.07140000,5.25410000,5.25410000,503913.22000000,503913.22000000
2020-08-18,6.12170000,6.12170000,6.66400000,6.66400000,5.63180000,5.63180000,5.73000000,5.73000000,767187.74000000,767187.74000000
2020-08-17,6.11290000,6.11290000,6.18330000,6.18330000,5.70140000,5.70140000,6.15700000,6.15700000,489352.23000000,489352.23000000
2020-08-16,5.99500000,5.99500000,6.40000000,6.40000000,5.90000000,5.90000000,6.11290000,6.11290000,337278.41000000,337278.41000000
2020-08-15,6.17170000,6.17170000,6.49940000,6.49940000,5.61610000,5.61610000,5.99500000,5.99500000,820325.20000000,820325.20000000
2020-08-14,6.67550000,6.67550000,7.18660000,7.18660000,5.99990000,5.99990000,6.17230000,6.17230000,1092018.81000000,1092018.81000000
2020-08-13,4.80000000,4.80000000,43.00000000,43.00000000,4.80000000,4.80000000,6.65540000,6.65540000,4401320.43000000,4401320.43000000
