,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.08038000,0.08038000,0.08372000,0.08372000,0.08029000,0.08029000,0.08328000,0.08328000,1815915.80000000,1815915.80000000
2020-08-29,0.07768000,0.07768000,0.08143000,0.08143000,0.07586000,0.07586000,0.08092000,0.08092000,5852960.50000000,5852960.50000000
2020-08-28,0.08041000,0.08041000,0.08313000,0.08313000,0.07506000,0.07506000,0.07743000,0.07743000,7897625.50000000,7897625.50000000
2020-08-27,0.08883000,0.08883000,0.08890000,0.08890000,0.07483000,0.07483000,0.08042000,0.08042000,11298687.70000000,11298687.70000000
2020-08-26,0.08131000,0.08131000,0.09040000,0.09040000,0.07788000,0.07788000,0.08890000,0.08890000,19162679.30000000,19162679.30000000
2020-08-25,0.07871000,0.07871000,0.08300000,0.08300000,0.07281000,0.07281000,0.08131000,0.08131000,14380813.90000000,14380813.90000000
2020-08-24,0.07705000,0.07705000,0.08060000,0.08060000,0.07347000,0.07347000,0.07867000,0.07867000,8046715.70000000,8046715.70000000
2020-08-23,0.07762000,0.07762000,0.07928000,0.07928000,0.07225000,0.07225000,0.07685000,0.07685000,9663125.30000000,9663125.30000000
2020-08-22,0.06839000,0.06839000,0.07791000,0.07791000,0.06628000,0.06628000,0.07760000,0.07760000,11221217.40000000,11221217.40000000
2020-08-21,0.07321000,0.07321000,0.07545000,0.07545000,0.06728000,0.06728000,0.06833000,0.06833000,8051136.20000000,8051136.20000000
2020-08-20,0.06776000,0.06776000,0.07434000,0.07434000,0.06567000,0.06567000,0.07321000,0.07321000,9687983.60000000,9687983.60000000
2020-08-19,0.07632000,0.07632000,0.07671000,0.07671000,0.06330000,0.06330000,0.06776000,0.06776000,12527534.00000000,12527534.00000000
2020-08-18,0.07056000,0.07056000,0.08149000,0.08149000,0.07000000,0.07000000,0.07629000,0.07629000,30889079.30000000,30889079.30000000
2020-08-17,0.06809000,0.06809000,0.07430000,0.07430000,0.06783000,0.06783000,0.07057000,0.07057000,15076463.70000000,15076463.70000000
2020-08-16,0.06657000,0.06657000,0.06810000,0.06810000,0.06503000,0.06503000,0.06801000,0.06801000,3238048.80000000,3238048.80000000
2020-08-15,0.06801000,0.06801000,0.06819000,0.06819000,0.06594000,0.06594000,0.06679000,0.06679000,3373479.80000000,3373479.80000000
2020-08-14,0.06800000,0.06800000,0.07057000,0.07057000,0.06691000,0.06691000,0.06800000,0.06800000,8159103.20000000,8159103.20000000
2020-08-13,0.06963000,0.06963000,0.06976000,0.06976000,0.06555000,0.06555000,0.06800000,0.06800000,11178236.90000000,11178236.90000000
2020-08-12,0.06817000,0.06817000,0.07080000,0.07080000,0.06234000,0.06234000,0.06929000,0.06929000,18268948.40000000,18268948.40000000
2020-08-11,0.07369000,0.07369000,0.07800000,0.07800000,0.06620000,0.06620000,0.06835000,0.06835000,25222216.20000000,25222216.20000000
2020-08-10,0.06885000,0.06885000,0.07600000,0.07600000,0.06319000,0.06319000,0.07383000,0.07383000,21506485.10000000,21506485.10000000
2020-08-09,0.06803000,0.06803000,0.06877000,0.06877000,0.06500000,0.06500000,0.06869000,0.06869000,6423836.30000000,6423836.30000000
2020-08-08,0.06869000,0.06869000,0.07101000,0.07101000,0.06732000,0.06732000,0.06841000,0.06841000,7152704.60000000,7152704.60000000
2020-08-07,0.06654000,0.06654000,0.06990000,0.06990000,0.06416000,0.06416000,0.06869000,0.06869000,7714396.20000000,7714396.20000000
