,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2018-11-20,448.70000000,448.70000000,448.70000000,448.70000000,448.70000000,448.70000000,448.70000000,448.70000000,0.00000000,0.00000000
2018-11-15,452.54000000,452.54000000,468.99000000,468.99000000,389.00000000,389.00000000,448.70000000,448.70000000,103980.90483000,103980.90483000
2018-11-14,519.51000000,519.51000000,532.49000000,532.49000000,420.00000000,420.00000000,452.74000000,452.74000000,124861.36451000,124861.36451000
2018-11-13,520.87000000,520.87000000,553.99000000,553.99000000,508.00000000,508.00000000,519.51000000,519.51000000,101768.45420000,101768.45420000
2018-11-12,535.34000000,535.34000000,543.60000000,543.60000000,503.22000000,503.22000000,521.07000000,521.07000000,81887.87256000,81887.87256000
2018-11-11,559.10000000,559.10000000,563.92000000,563.92000000,517.49000000,517.49000000,535.36000000,535.36000000,61103.92952000,61103.92952000
2018-11-10,546.70000000,546.70000000,580.00000000,580.00000000,533.81000000,533.81000000,559.02000000,559.02000000,61789.90190000,61789.90190000
2018-11-09,578.51000000,578.51000000,603.66000000,603.66000000,530.00000000,530.00000000,546.54000000,546.54000000,93325.54298000,93325.54298000
2018-11-08,620.94000000,620.94000000,625.15000000,625.15000000,574.80000000,574.80000000,578.52000000,578.52000000,87830.75030000,87830.75030000
2018-11-07,633.67000000,633.67000000,646.98000000,646.98000000,610.38000000,610.38000000,620.94000000,620.94000000,100325.25957000,100325.25957000
2018-11-06,563.59000000,563.59000000,637.38000000,637.38000000,547.34000000,547.34000000,632.47000000,632.47000000,99738.12915000,99738.12915000
2018-11-05,570.83000000,570.83000000,585.00000000,585.00000000,540.99000000,540.99000000,563.69000000,563.69000000,91123.51518000,91123.51518000
2018-11-04,480.83000000,480.83000000,594.98000000,594.98000000,480.28000000,480.28000000,570.83000000,570.83000000,119393.25621000,119393.25621000
2018-11-03,465.50000000,465.50000000,488.40000000,488.40000000,458.17000000,458.17000000,480.45000000,480.45000000,28159.51270000,28159.51270000
2018-11-02,427.51000000,427.51000000,477.97000000,477.97000000,426.24000000,426.24000000,465.88000000,465.88000000,38425.65422000,38425.65422000
2018-11-01,427.05000000,427.05000000,429.77000000,429.77000000,424.10000000,424.10000000,427.51000000,427.51000000,6940.69361000,6940.69361000
2018-10-31,423.49000000,423.49000000,432.84000000,432.84000000,410.00000000,410.00000000,427.37000000,427.37000000,14315.15208000,14315.15208000
2018-10-30,418.91000000,418.91000000,425.50000000,425.50000000,417.00000000,417.00000000,423.45000000,423.45000000,7356.90764000,7356.90764000
2018-10-29,442.25000000,442.25000000,442.97000000,442.97000000,414.05000000,414.05000000,418.57000000,418.57000000,17199.20986000,17199.20986000
2018-10-28,440.45000000,440.45000000,444.42000000,444.42000000,438.13000000,438.13000000,442.59000000,442.59000000,8600.37468000,8600.37468000
2018-10-27,444.30000000,444.30000000,444.56000000,444.56000000,434.72000000,434.72000000,440.12000000,440.12000000,5841.52237000,5841.52237000
2018-10-26,445.48000000,445.48000000,450.89000000,450.89000000,441.47000000,441.47000000,443.97000000,443.97000000,8143.09180000,8143.09180000
2018-10-25,448.02000000,448.02000000,451.11000000,451.11000000,443.50000000,443.50000000,445.00000000,445.00000000,7493.41407000,7493.41407000
2018-10-24,449.03000000,449.03000000,456.50000000,456.50000000,446.69000000,446.69000000,447.72000000,447.72000000,9051.81828000,9051.81828000
2018-10-23,456.40000000,456.40000000,458.29000000,458.29000000,443.61000000,443.61000000,449.03000000,449.03000000,12681.79524000,12681.79524000
2018-10-22,455.58000000,455.58000000,461.36000000,461.36000000,449.80000000,449.80000000,456.39000000,456.39000000,23796.47469000,23796.47469000
2018-10-21,455.23000000,455.23000000,466.93000000,466.93000000,453.61000000,453.61000000,455.61000000,455.61000000,37722.30882000,37722.30882000
2018-10-20,446.66000000,446.66000000,459.27000000,459.27000000,442.22000000,442.22000000,455.57000000,455.57000000,32420.52232000,32420.52232000
2018-10-19,446.91000000,446.91000000,452.98000000,452.98000000,436.67000000,436.67000000,446.96000000,446.96000000,31752.14386000,31752.14386000
2018-10-18,462.08000000,462.08000000,471.56000000,471.56000000,439.69000000,439.69000000,446.06000000,446.06000000,44460.04543000,44460.04543000
2018-10-17,469.96000000,469.96000000,473.00000000,473.00000000,457.75000000,457.75000000,462.08000000,462.08000000,39547.48563000,39547.48563000
2018-10-16,470.10000000,470.10000000,483.49000000,483.49000000,462.36000000,462.36000000,469.95000000,469.95000000,37612.07146000,37612.07146000
2018-10-15,443.92000000,443.92000000,521.00000000,521.00000000,436.32000000,436.32000000,470.11000000,470.11000000,81898.84246000,81898.84246000
2018-10-14,453.55000000,453.55000000,458.25000000,458.25000000,440.89000000,440.89000000,444.59000000,444.59000000,37841.91268000,37841.91268000
2018-10-13,445.52000000,445.52000000,456.79000000,456.79000000,443.73000000,443.73000000,453.91000000,453.91000000,36828.18183000,36828.18183000
2018-10-12,433.60000000,433.60000000,458.29000000,458.29000000,428.56000000,428.56000000,445.53000000,445.53000000,41085.23194000,41085.23194000
2018-10-11,516.36000000,516.36000000,516.60000000,516.60000000,428.66000000,428.66000000,434.17000000,434.17000000,78891.70243000,78891.70243000
2018-10-10,520.37000000,520.37000000,522.19000000,522.19000000,509.74000000,509.74000000,516.23000000,516.23000000,42197.63986000,42197.63986000
2018-10-09,531.50000000,531.50000000,532.24000000,532.24000000,512.21000000,512.21000000,520.37000000,520.37000000,44036.45471000,44036.45471000
2018-10-08,521.13000000,521.13000000,535.35000000,535.35000000,518.84000000,518.84000000,531.80000000,531.80000000,46855.12992000,46855.12992000
2018-10-07,510.73000000,510.73000000,525.49000000,525.49000000,506.10000000,506.10000000,520.90000000,520.90000000,40190.30105000,40190.30105000
2018-10-06,521.63000000,521.63000000,523.00000000,523.00000000,502.57000000,502.57000000,510.44000000,510.44000000,39206.39604000,39206.39604000
