,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.17228000,0.17228000,0.17844000,0.17844000,0.16526000,0.16526000,0.16574000,0.16574000,10927355.30000000,10927355.30000000
2020-08-29,0.17821000,0.17821000,0.20580000,0.20580000,0.17164000,0.17164000,0.17220000,0.17220000,29417722.50000000,29417722.50000000
2020-08-28,0.14608000,0.14608000,0.18900000,0.18900000,0.14445000,0.14445000,0.17821000,0.17821000,32927840.50000000,32927840.50000000
2020-08-27,0.12750000,0.12750000,0.15330000,0.15330000,0.12746000,0.12746000,0.14632000,0.14632000,32113528.30000000,32113528.30000000
2020-08-26,0.11961000,0.11961000,0.12949000,0.12949000,0.11701000,0.11701000,0.12782000,0.12782000,4542836.60000000,4542836.60000000
2020-08-25,0.12784000,0.12784000,0.13577000,0.13577000,0.11164000,0.11164000,0.11953000,0.11953000,7043605.80000000,7043605.80000000
2020-08-24,0.12162000,0.12162000,0.13480000,0.13480000,0.11753000,0.11753000,0.12780000,0.12780000,6691486.20000000,6691486.20000000
2020-08-23,0.12434000,0.12434000,0.13415000,0.13415000,0.11700000,0.11700000,0.12176000,0.12176000,9612816.80000000,9612816.80000000
2020-08-22,0.10762000,0.10762000,0.12846000,0.12846000,0.09920000,0.09920000,0.12439000,0.12439000,5631193.60000000,5631193.60000000
2020-08-21,0.12267000,0.12267000,0.12269000,0.12269000,0.09162000,0.09162000,0.10672000,0.10672000,4486665.90000000,4486665.90000000
2020-08-20,0.11551000,0.11551000,0.12587000,0.12587000,0.11470000,0.11470000,0.12266000,0.12266000,3713186.40000000,3713186.40000000
2020-08-19,0.12406000,0.12406000,0.12533000,0.12533000,0.11016000,0.11016000,0.11470000,0.11470000,4209580.50000000,4209580.50000000
2020-08-18,0.13457000,0.13457000,0.13842000,0.13842000,0.11500000,0.11500000,0.12414000,0.12414000,3925987.60000000,3925987.60000000
2020-08-17,0.13440000,0.13440000,0.14614000,0.14614000,0.12814000,0.12814000,0.13451000,0.13451000,8301865.10000000,8301865.10000000
2020-08-16,0.14288000,0.14288000,0.14398000,0.14398000,0.13103000,0.13103000,0.13450000,0.13450000,4565178.30000000,4565178.30000000
2020-08-15,0.13540000,0.13540000,0.16000000,0.16000000,0.13000000,0.13000000,0.14240000,0.14240000,15042252.90000000,15042252.90000000
2020-08-14,0.12071000,0.12071000,0.14415000,0.14415000,0.11552000,0.11552000,0.13540000,0.13540000,9709035.90000000,9709035.90000000
2020-08-13,0.13275000,0.13275000,0.13275000,0.13275000,0.11483000,0.11483000,0.12056000,0.12056000,5492164.70000000,5492164.70000000
2020-08-12,0.11489000,0.11489000,0.13337000,0.13337000,0.10743000,0.10743000,0.13300000,0.13300000,7524016.90000000,7524016.90000000
2020-08-11,0.12866000,0.12866000,0.16980000,0.16980000,0.11085000,0.11085000,0.11488000,0.11488000,3143511.00000000,3143511.00000000
