,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,1.81590000,1.81590000,1.87330000,1.87330000,1.80000000,1.80000000,1.86820000,1.86820000,185159.55000000,185159.55000000
2020-08-29,1.99230000,1.99230000,2.03600000,2.03600000,1.80540000,1.80540000,1.81600000,1.81600000,1216510.95000000,1216510.95000000
2020-08-28,1.77500000,1.77500000,2.06730000,2.06730000,1.74850000,1.74850000,1.99020000,1.99020000,3546928.66000000,3546928.66000000
2020-08-27,1.78270000,1.78270000,1.94230000,1.94230000,1.72520000,1.72520000,1.77580000,1.77580000,1619760.27000000,1619760.27000000
2020-08-26,1.81420000,1.81420000,1.83040000,1.83040000,1.67900000,1.67900000,1.78620000,1.78620000,1411746.01000000,1411746.01000000
2020-08-25,1.89880000,1.89880000,2.02000000,2.02000000,1.69770000,1.69770000,1.81870000,1.81870000,1872552.93000000,1872552.93000000
2020-08-24,1.92020000,1.92020000,1.96980000,1.96980000,1.86910000,1.86910000,1.90080000,1.90080000,1146029.96000000,1146029.96000000
2020-08-23,2.03820000,2.03820000,2.04400000,2.04400000,1.90800000,1.90800000,1.92020000,1.92020000,524586.67000000,524586.67000000
2020-08-22,1.96330000,1.96330000,2.10380000,2.10380000,1.90000000,1.90000000,2.03830000,2.03830000,747293.77000000,747293.77000000
2020-08-21,2.31010000,2.31010000,2.40900000,2.40900000,1.94900000,1.94900000,1.95450000,1.95450000,1851513.26000000,1851513.26000000
2020-08-20,1.77540000,1.77540000,2.41200000,2.41200000,1.77540000,1.77540000,2.31720000,2.31720000,3402507.43000000,3402507.43000000
2020-08-19,1.98300000,1.98300000,2.00090000,2.00090000,1.72190000,1.72190000,1.77040000,1.77040000,1395132.26000000,1395132.26000000
2020-08-18,2.03440000,2.03440000,2.08600000,2.08600000,1.88580000,1.88580000,1.98280000,1.98280000,1474036.82000000,1474036.82000000
2020-08-17,2.21950000,2.21950000,2.23650000,2.23650000,2.01690000,2.01690000,2.03440000,2.03440000,940351.67000000,940351.67000000
2020-08-16,2.05740000,2.05740000,2.26000000,2.26000000,2.01120000,2.01120000,2.22150000,2.22150000,1330423.13000000,1330423.13000000
