,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.99980000,0.99980000,1.00010000,1.00010000,0.99960000,0.99960000,1.00000000,1.00000000,7712053.60000000,7712053.60000000
2020-08-29,0.99950000,0.99950000,1.00010000,1.00010000,0.99930000,0.99930000,0.99970000,0.99970000,46424331.95000000,46424331.95000000
2020-08-28,1.00010000,1.00010000,1.00010000,1.00010000,0.99920000,0.99920000,0.99960000,0.99960000,47317855.20000000,47317855.20000000
2020-08-27,0.99940000,0.99940000,1.00020000,1.00020000,0.99940000,0.99940000,1.00010000,1.00010000,53275741.71000000,53275741.71000000
2020-08-26,0.99970000,0.99970000,1.00010000,1.00010000,0.99910000,0.99910000,0.99940000,0.99940000,47248022.44000000,47248022.44000000
2020-08-25,0.99990000,0.99990000,1.00040000,1.00040000,0.99950000,0.99950000,0.99970000,0.99970000,56667591.02000000,56667591.02000000
2020-08-24,0.99970000,0.99970000,1.00010000,1.00010000,0.99950000,0.99950000,0.99990000,0.99990000,40402530.40000000,40402530.40000000
2020-08-23,0.99950000,0.99950000,0.99990000,0.99990000,0.99930000,0.99930000,0.99960000,0.99960000,34116079.07000000,34116079.07000000
2020-08-22,1.00010000,1.00010000,1.00060000,1.00060000,0.99950000,0.99950000,0.99950000,0.99950000,54474141.72000000,54474141.72000000
2020-08-21,0.99940000,0.99940000,1.00050000,1.00050000,0.99940000,0.99940000,1.00020000,1.00020000,80649192.15000001,80649192.15000001
2020-08-20,0.99980000,0.99980000,1.00010000,1.00010000,0.99890000,0.99890000,0.99950000,0.99950000,48900023.88000000,48900023.88000000
2020-08-19,0.99930000,0.99930000,1.00020000,1.00020000,0.99920000,0.99920000,0.99980000,0.99980000,69974115.64000000,69974115.64000000
2020-08-18,0.99890000,0.99890000,1.00010000,1.00010000,0.99860000,0.99860000,0.99930000,0.99930000,74673360.69000000,74673360.69000000
2020-08-17,0.99960000,0.99960000,1.00010000,1.00010000,0.99790000,0.99790000,0.99880000,0.99880000,75801606.29000001,75801606.29000001
2020-08-16,0.99940000,0.99940000,1.00010000,1.00010000,0.99930000,0.99930000,0.99970000,0.99970000,53492336.10000000,53492336.10000000
2020-08-15,0.99880000,0.99880000,0.99980000,0.99980000,0.99870000,0.99870000,0.99940000,0.99940000,65799807.26000000,65799807.26000000
2020-08-14,0.99870000,0.99870000,0.99920000,0.99920000,0.99780000,0.99780000,0.99880000,0.99880000,76098262.68000001,76098262.68000001
2020-08-13,0.99980000,0.99980000,1.00000000,1.00000000,0.99830000,0.99830000,0.99870000,0.99870000,80205553.95999999,80205553.95999999
2020-08-12,1.00050000,1.00050000,1.00060000,1.00060000,0.99890000,0.99890000,0.99980000,0.99980000,74845711.43000001,74845711.43000001
2020-08-11,0.99920000,0.99920000,1.00070000,1.00070000,0.99900000,0.99900000,1.00040000,1.00040000,77627294.23999999,77627294.23999999
2020-08-10,0.99940000,0.99940000,0.99950000,0.99950000,0.99770000,0.99770000,0.99920000,0.99920000,70962282.69000000,70962282.69000000
2020-08-09,0.99930000,0.99930000,0.99950000,0.99950000,0.99880000,0.99880000,0.99950000,0.99950000,58101362.76000000,58101362.76000000
2020-08-08,0.99890000,0.99890000,0.99940000,0.99940000,0.99860000,0.99860000,0.99930000,0.99930000,49547634.05000000,49547634.05000000
2020-08-07,0.99920000,0.99920000,0.99980000,0.99980000,0.99880000,0.99880000,0.99890000,0.99890000,63221189.32000000,63221189.32000000
2020-08-06,0.99890000,0.99890000,0.99950000,0.99950000,0.99870000,0.99870000,0.99920000,0.99920000,69508331.42000000,69508331.42000000
2020-08-05,0.99950000,0.99950000,1.00010000,1.00010000,0.99750000,0.99750000,0.99890000,0.99890000,76926896.80000000,76926896.80000000
2020-08-04,0.99910000,0.99910000,1.00010000,1.00010000,0.99910000,0.99910000,0.99950000,0.99950000,72615202.58000000,72615202.58000000
2020-08-03,1.00000000,1.00000000,1.00020000,1.00020000,0.99860000,0.99860000,0.99910000,0.99910000,66234654.76000000,66234654.76000000
2020-08-02,0.99880000,0.99880000,1.00000000,1.00000000,0.99870000,0.99870000,1.00000000,1.00000000,100742663.56999999,100742663.56999999
2020-08-01,0.99850000,0.99850000,0.99960000,0.99960000,0.99720000,0.99720000,0.99870000,0.99870000,99326693.59999999,99326693.59999999
2020-07-31,0.99910000,0.99910000,0.99970000,0.99970000,0.99840000,0.99840000,0.99850000,0.99850000,72800236.73000000,72800236.73000000
2020-07-30,0.99910000,0.99910000,0.99990000,0.99990000,0.99830000,0.99830000,0.99920000,0.99920000,83478807.81000000,83478807.81000000
2020-07-29,0.99820000,0.99820000,0.99980000,0.99980000,0.99820000,0.99820000,0.99920000,0.99920000,59910221.78000000,59910221.78000000
2020-07-28,0.99810000,0.99810000,0.99980000,0.99980000,0.99800000,0.99800000,0.99830000,0.99830000,84734940.58000000,84734940.58000000
2020-07-27,0.99920000,0.99920000,0.99950000,0.99950000,0.99740000,0.99740000,0.99810000,0.99810000,111946663.09000000,111946663.09000000
2020-07-26,0.99890000,0.99890000,0.99980000,0.99980000,0.99490000,0.99490000,0.99920000,0.99920000,64828450.89000000,64828450.89000000
2020-07-25,0.99870000,0.99870000,0.99930000,0.99930000,0.99830000,0.99830000,0.99890000,0.99890000,43590008.87000000,43590008.87000000
2020-07-24,0.99900000,0.99900000,0.99950000,0.99950000,0.99840000,0.99840000,0.99880000,0.99880000,48562933.04000000,48562933.04000000
2020-07-23,0.99860000,0.99860000,0.99970000,0.99970000,0.99770000,0.99770000,0.99890000,0.99890000,53747239.27000000,53747239.27000000
2020-07-22,0.99930000,0.99930000,1.00000000,1.00000000,0.99760000,0.99760000,0.99850000,0.99850000,42081331.26000000,42081331.26000000
2020-07-21,0.99970000,0.99970000,1.00030000,1.00030000,0.99910000,0.99910000,0.99930000,0.99930000,42272210.20000000,42272210.20000000
2020-07-20,0.99970000,0.99970000,1.00030000,1.00030000,0.99960000,0.99960000,0.99980000,0.99980000,32404645.73000000,32404645.73000000
2020-07-19,0.99980000,0.99980000,1.00020000,1.00020000,0.99950000,0.99950000,0.99970000,0.99970000,25889002.04000000,25889002.04000000
2020-07-18,1.00030000,1.00030000,1.00050000,1.00050000,0.99960000,0.99960000,0.99970000,0.99970000,25105396.31000000,25105396.31000000
2020-07-17,1.00060000,1.00060000,1.00140000,1.00140000,1.00010000,1.00010000,1.00030000,1.00030000,26605076.70000000,26605076.70000000
2020-07-16,1.00100000,1.00100000,1.00180000,1.00180000,1.00050000,1.00050000,1.00070000,1.00070000,34149648.15000000,34149648.15000000
2020-07-15,1.00020000,1.00020000,1.00140000,1.00140000,1.00010000,1.00010000,1.00100000,1.00100000,30615046.98000000,30615046.98000000
2020-07-14,1.00070000,1.00070000,1.00100000,1.00100000,1.00000000,1.00000000,1.00020000,1.00020000,32412198.03000000,32412198.03000000
2020-07-13,1.00000000,1.00000000,1.00090000,1.00090000,0.99990000,0.99990000,1.00070000,1.00070000,36533396.26000000,36533396.26000000
2020-07-12,1.00030000,1.00030000,1.00030000,1.00030000,0.99970000,0.99970000,1.00000000,1.00000000,26105043.76000000,26105043.76000000
2020-07-11,1.00020000,1.00020000,1.00040000,1.00040000,1.00000000,1.00000000,1.00020000,1.00020000,18535301.17000000,18535301.17000000
2020-07-10,1.00010000,1.00010000,1.00100000,1.00100000,1.00010000,1.00010000,1.00020000,1.00020000,33354546.24000000,33354546.24000000
2020-07-09,0.99960000,0.99960000,1.00050000,1.00050000,0.99950000,0.99950000,1.00010000,1.00010000,35476695.49000000,35476695.49000000
2020-07-08,1.00020000,1.00020000,1.00050000,1.00050000,0.99950000,0.99950000,0.99960000,0.99960000,39763682.66000000,39763682.66000000
2020-07-07,1.00000000,1.00000000,1.00050000,1.00050000,0.99990000,0.99990000,1.00020000,1.00020000,27207265.18000000,27207265.18000000
2020-07-06,0.99980000,0.99980000,1.00030000,1.00030000,0.99970000,0.99970000,1.00000000,1.00000000,31186338.70000000,31186338.70000000
2020-07-05,0.99990000,0.99990000,1.00020000,1.00020000,0.99970000,0.99970000,0.99990000,0.99990000,17975886.47000000,17975886.47000000
2020-07-04,1.00000000,1.00000000,1.00030000,1.00030000,0.99970000,0.99970000,0.99990000,0.99990000,15824496.72000000,15824496.72000000
2020-07-03,0.99990000,0.99990000,1.00040000,1.00040000,0.99980000,0.99980000,1.00000000,1.00000000,19478452.23000000,19478452.23000000
2020-07-02,0.99980000,0.99980000,1.00080000,1.00080000,0.99970000,0.99970000,1.00000000,1.00000000,26564423.08000000,26564423.08000000
2020-07-01,1.00040000,1.00040000,1.00060000,1.00060000,0.99970000,0.99970000,0.99980000,0.99980000,26164499.60000000,26164499.60000000
2020-06-30,1.00050000,1.00050000,1.00090000,1.00090000,1.00020000,1.00020000,1.00050000,1.00050000,18627904.93000000,18627904.93000000
2020-06-29,1.00050000,1.00050000,1.00160000,1.00160000,1.00030000,1.00030000,1.00060000,1.00060000,24111732.41000000,24111732.41000000
2020-06-28,1.00110000,1.00110000,1.00130000,1.00130000,1.00040000,1.00040000,1.00050000,1.00050000,16431918.15000000,16431918.15000000
2020-06-27,1.00100000,1.00100000,1.00160000,1.00160000,1.00080000,1.00080000,1.00120000,1.00120000,24687971.00000000,24687971.00000000
2020-06-26,1.00080000,1.00080000,1.00230000,1.00230000,1.00060000,1.00060000,1.00100000,1.00100000,30926827.05000000,30926827.05000000
2020-06-25,1.00140000,1.00140000,1.00250000,1.00250000,1.00050000,1.00050000,1.00080000,1.00080000,26770218.04000000,26770218.04000000
2020-06-24,1.00040000,1.00040000,1.00230000,1.00230000,1.00020000,1.00020000,1.00150000,1.00150000,34183085.73000000,34183085.73000000
2020-06-23,1.00000000,1.00000000,1.00080000,1.00080000,0.99990000,0.99990000,1.00040000,1.00040000,27700241.52000000,27700241.52000000
2020-06-22,1.00150000,1.00150000,1.00160000,1.00160000,0.99970000,0.99970000,1.00010000,1.00010000,28007737.45000000,28007737.45000000
2020-06-21,1.00060000,1.00060000,1.00170000,1.00170000,1.00030000,1.00030000,1.00150000,1.00150000,21374677.50000000,21374677.50000000
2020-06-20,1.00160000,1.00160000,1.00170000,1.00170000,1.00040000,1.00040000,1.00060000,1.00060000,28118538.71000000,28118538.71000000
2020-06-19,1.00130000,1.00130000,1.00180000,1.00180000,1.00070000,1.00070000,1.00170000,1.00170000,33220497.72000000,33220497.72000000
2020-06-18,1.00120000,1.00120000,1.00150000,1.00150000,1.00070000,1.00070000,1.00120000,1.00120000,26517894.24000000,26517894.24000000
2020-06-17,1.00010000,1.00010000,1.00170000,1.00170000,1.00000000,1.00000000,1.00120000,1.00120000,26382574.05000000,26382574.05000000
2020-06-16,0.99970000,0.99970000,1.00070000,1.00070000,0.99930000,0.99930000,1.00010000,1.00010000,24363205.48000000,24363205.48000000
2020-06-15,1.00090000,1.00090000,1.00240000,1.00240000,0.99950000,0.99950000,0.99970000,0.99970000,43944573.05000000,43944573.05000000
2020-06-14,1.00000000,1.00000000,1.00090000,1.00090000,0.99990000,0.99990000,1.00090000,1.00090000,16202717.82000000,16202717.82000000
2020-06-13,1.00040000,1.00040000,1.00080000,1.00080000,0.99990000,0.99990000,1.00000000,1.00000000,19144663.93000000,19144663.93000000
2020-06-12,1.00130000,1.00130000,1.00190000,1.00190000,1.00030000,1.00030000,1.00040000,1.00040000,18649952.99000000,18649952.99000000
2020-06-11,0.99950000,0.99950000,1.00330000,1.00330000,0.99930000,0.99930000,1.00130000,1.00130000,48381282.60000000,48381282.60000000
2020-06-10,0.99940000,0.99940000,1.00030000,1.00030000,0.99940000,0.99940000,0.99940000,0.99940000,23708883.25000000,23708883.25000000
2020-06-09,0.99960000,0.99960000,1.00020000,1.00020000,0.99900000,0.99900000,0.99940000,0.99940000,26975058.79000000,26975058.79000000
2020-06-08,0.99950000,0.99950000,1.00010000,1.00010000,0.99910000,0.99910000,0.99960000,0.99960000,21910168.42000000,21910168.42000000
2020-06-07,1.00020000,1.00020000,1.00070000,1.00070000,0.99910000,0.99910000,0.99960000,0.99960000,28080814.61000000,28080814.61000000
2020-06-06,1.00050000,1.00050000,1.00120000,1.00120000,1.00010000,1.00010000,1.00020000,1.00020000,21523714.79000000,21523714.79000000
2020-06-05,0.99980000,0.99980000,1.00070000,1.00070000,0.99970000,0.99970000,1.00050000,1.00050000,26840431.10000000,26840431.10000000
2020-06-04,1.00010000,1.00010000,1.00070000,1.00070000,0.99930000,0.99930000,0.99970000,0.99970000,35155993.47000000,35155993.47000000
2020-06-03,1.00010000,1.00010000,1.00080000,1.00080000,0.99970000,0.99970000,1.00010000,1.00010000,33143585.37000000,33143585.37000000
2020-06-02,0.99900000,0.99900000,1.00170000,1.00170000,0.99850000,0.99850000,1.00010000,1.00010000,80812153.01000001,80812153.01000001
2020-06-01,1.00070000,1.00070000,1.00090000,1.00090000,0.99720000,0.99720000,0.99890000,0.99890000,40947047.92000000,40947047.92000000
2020-05-31,1.00000000,1.00000000,1.00090000,1.00090000,0.99970000,0.99970000,1.00070000,1.00070000,33145423.61000000,33145423.61000000
2020-05-30,1.00060000,1.00060000,1.00070000,1.00070000,0.99960000,0.99960000,1.00000000,1.00000000,32576122.38000000,32576122.38000000
2020-05-29,0.99970000,0.99970000,1.00080000,1.00080000,0.99960000,0.99960000,1.00050000,1.00050000,33619305.70000000,33619305.70000000
2020-05-28,1.00020000,1.00020000,1.00040000,1.00040000,0.99930000,0.99930000,0.99960000,0.99960000,35549511.85000000,35549511.85000000
2020-05-27,1.00030000,1.00030000,1.00060000,1.00060000,0.99970000,0.99970000,1.00020000,1.00020000,29641475.22000000,29641475.22000000
2020-05-26,1.00030000,1.00030000,1.00070000,1.00070000,1.00010000,1.00010000,1.00030000,1.00030000,25217147.28000000,25217147.28000000
2020-05-25,1.00070000,1.00070000,1.00070000,1.00070000,0.99990000,0.99990000,1.00030000,1.00030000,24937694.39000000,24937694.39000000
2020-05-24,1.00000000,1.00000000,1.00070000,1.00070000,0.99940000,0.99940000,1.00070000,1.00070000,29929635.63000000,29929635.63000000
2020-05-23,1.00010000,1.00010000,1.00030000,1.00030000,0.99960000,0.99960000,1.00000000,1.00000000,22169632.30000000,22169632.30000000
2020-05-22,1.00090000,1.00090000,1.00210000,1.00210000,0.99990000,0.99990000,1.00010000,1.00010000,34161480.65000000,34161480.65000000
2020-05-21,1.00070000,1.00070000,1.00210000,1.00210000,1.00040000,1.00040000,1.00100000,1.00100000,69235428.55000000,69235428.55000000
2020-05-20,1.00000000,1.00000000,1.00140000,1.00140000,1.00000000,1.00000000,1.00060000,1.00060000,58007168.07000000,58007168.07000000
2020-05-19,1.00070000,1.00070000,1.00140000,1.00140000,1.00000000,1.00000000,1.00010000,1.00010000,47438802.06000000,47438802.06000000
2020-05-18,1.00030000,1.00030000,1.00160000,1.00160000,1.00000000,1.00000000,1.00070000,1.00070000,43007732.72000000,43007732.72000000
2020-05-17,1.00010000,1.00010000,1.00060000,1.00060000,0.99970000,0.99970000,1.00030000,1.00030000,29431416.59000000,29431416.59000000
2020-05-16,1.00100000,1.00100000,1.00100000,1.00100000,1.00000000,1.00000000,1.00020000,1.00020000,25745655.12000000,25745655.12000000
2020-05-15,0.99960000,0.99960000,1.00150000,1.00150000,0.99960000,0.99960000,1.00090000,1.00090000,31362242.16000000,31362242.16000000
2020-05-14,0.99910000,0.99910000,1.00010000,1.00010000,0.99880000,0.99880000,0.99970000,0.99970000,35568479.69000000,35568479.69000000
2020-05-13,0.99930000,0.99930000,0.99980000,0.99980000,0.99870000,0.99870000,0.99900000,0.99900000,21923671.27000000,21923671.27000000
2020-05-12,0.99940000,0.99940000,1.00000000,1.00000000,0.99920000,0.99920000,0.99930000,0.99930000,23856824.69000000,23856824.69000000
2020-05-11,0.99960000,0.99960000,0.99980000,0.99980000,0.99870000,0.99870000,0.99940000,0.99940000,36412595.99000000,36412595.99000000
2020-05-10,1.00010000,1.00010000,1.00220000,1.00220000,0.99880000,0.99880000,0.99960000,0.99960000,66511173.08000000,66511173.08000000
2020-05-09,0.99910000,0.99910000,1.00030000,1.00030000,0.99910000,0.99910000,1.00010000,1.00010000,35445749.12000000,35445749.12000000
2020-05-08,0.99860000,0.99860000,0.99920000,0.99920000,0.99840000,0.99840000,0.99910000,0.99910000,39375158.54000000,39375158.54000000
2020-05-07,0.99900000,0.99900000,0.99950000,0.99950000,0.99840000,0.99840000,0.99860000,0.99860000,39086658.97000000,39086658.97000000
2020-05-06,0.99950000,0.99950000,0.99960000,0.99960000,0.99840000,0.99840000,0.99900000,0.99900000,35135234.68000000,35135234.68000000
2020-05-05,0.99870000,0.99870000,0.99960000,0.99960000,0.99860000,0.99860000,0.99950000,0.99950000,29658967.59000000,29658967.59000000
2020-05-04,0.99910000,0.99910000,0.99960000,0.99960000,0.99840000,0.99840000,0.99870000,0.99870000,37873295.17000000,37873295.17000000
2020-05-03,0.99910000,0.99910000,1.00000000,1.00000000,0.99880000,0.99880000,0.99910000,0.99910000,31743970.86000000,31743970.86000000
2020-05-02,0.99970000,0.99970000,0.99980000,0.99980000,0.99870000,0.99870000,0.99910000,0.99910000,23717830.74000000,23717830.74000000
2020-05-01,0.99950000,0.99950000,1.00010000,1.00010000,0.99840000,0.99840000,0.99970000,0.99970000,41412216.91000000,41412216.91000000
2020-04-30,0.99920000,0.99920000,1.00100000,1.00100000,0.99840000,0.99840000,0.99950000,0.99950000,60656905.32000000,60656905.32000000
2020-04-29,0.99860000,0.99860000,0.99920000,0.99920000,0.99770000,0.99770000,0.99920000,0.99920000,54749075.37000000,54749075.37000000
2020-04-28,0.99830000,0.99830000,0.99930000,0.99930000,0.99830000,0.99830000,0.99860000,0.99860000,24832495.70000000,24832495.70000000
2020-04-27,0.99880000,0.99880000,0.99900000,0.99900000,0.99830000,0.99830000,0.99840000,0.99840000,26551569.68000000,26551569.68000000
2020-04-26,0.99910000,0.99910000,0.99950000,0.99950000,0.99870000,0.99870000,0.99880000,0.99880000,23276982.27000000,23276982.27000000
2020-04-25,0.99920000,0.99920000,0.99970000,0.99970000,0.99880000,0.99880000,0.99910000,0.99910000,21333866.66000000,21333866.66000000
2020-04-24,0.99910000,0.99910000,1.00000000,1.00000000,0.99850000,0.99850000,0.99920000,0.99920000,31546421.46000000,31546421.46000000
2020-04-23,0.99870000,0.99870000,0.99920000,0.99920000,0.99790000,0.99790000,0.99910000,0.99910000,42503464.07000000,42503464.07000000
2020-04-22,0.99860000,0.99860000,0.99890000,0.99890000,0.99820000,0.99820000,0.99870000,0.99870000,22973920.15000000,22973920.15000000
2020-04-21,0.99860000,0.99860000,0.99900000,0.99900000,0.99820000,0.99820000,0.99860000,0.99860000,22304205.84000000,22304205.84000000
2020-04-20,0.99850000,0.99850000,0.99940000,0.99940000,0.99830000,0.99830000,0.99860000,0.99860000,27413658.17000000,27413658.17000000
2020-04-19,0.99840000,0.99840000,0.99900000,0.99900000,0.99830000,0.99830000,0.99850000,0.99850000,19031889.70000000,19031889.70000000
2020-04-18,0.99900000,0.99900000,0.99910000,0.99910000,0.99830000,0.99830000,0.99850000,0.99850000,18874139.09000000,18874139.09000000
2020-04-17,0.99850000,0.99850000,0.99920000,0.99920000,0.99810000,0.99810000,0.99910000,0.99910000,20828907.68000000,20828907.68000000
2020-04-16,0.99960000,0.99960000,0.99990000,0.99990000,0.99780000,0.99780000,0.99840000,0.99840000,34785484.09000000,34785484.09000000
2020-04-15,0.99900000,0.99900000,0.99980000,0.99980000,0.99840000,0.99840000,0.99970000,0.99970000,27843559.37000000,27843559.37000000
2020-04-14,0.99760000,0.99760000,0.99900000,0.99900000,0.99750000,0.99750000,0.99900000,0.99900000,21874423.37000000,21874423.37000000
2020-04-13,0.99880000,0.99880000,0.99940000,0.99940000,0.99750000,0.99750000,0.99750000,0.99750000,30434020.31000000,30434020.31000000
