,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.04488000,0.04488000,0.04584000,0.04584000,0.04464000,0.04464000,0.04566000,0.04566000,1206697.90000000,1206697.90000000
2020-08-29,0.04301000,0.04301000,0.04579000,0.04579000,0.04240000,0.04240000,0.04491000,0.04491000,11027171.80000000,11027171.80000000
2020-08-28,0.03955000,0.03955000,0.04662000,0.04662000,0.03939000,0.03939000,0.04296000,0.04296000,40219928.10000000,40219928.10000000
2020-08-27,0.04190000,0.04190000,0.04203000,0.04203000,0.03826000,0.03826000,0.03957000,0.03957000,8905852.90000000,8905852.90000000
2020-08-26,0.04185000,0.04185000,0.04324000,0.04324000,0.03998000,0.03998000,0.04194000,0.04194000,10349457.90000000,10349457.90000000
2020-08-25,0.04728000,0.04728000,0.04748000,0.04748000,0.03998000,0.03998000,0.04182000,0.04182000,12792792.50000000,12792792.50000000
2020-08-24,0.04649000,0.04649000,0.05053000,0.05053000,0.04561000,0.04561000,0.04711000,0.04711000,7723357.50000000,7723357.50000000
2020-08-23,0.04798000,0.04798000,0.04819000,0.04819000,0.04500000,0.04500000,0.04643000,0.04643000,5897586.80000000,5897586.80000000
2020-08-22,0.05257000,0.05257000,0.05604000,0.05604000,0.04380000,0.04380000,0.04819000,0.04819000,34631223.20000000,34631223.20000000
2020-08-21,0.04600000,0.04600000,0.05295000,0.05295000,0.04268000,0.04268000,0.05275000,0.05275000,27674287.60000000,27674287.60000000
2020-08-20,0.04000000,0.04000000,0.04663000,0.04663000,0.03929000,0.03929000,0.04600000,0.04600000,13990123.10000000,13990123.10000000
2020-08-19,0.04340000,0.04340000,0.04483000,0.04483000,0.03860000,0.03860000,0.03987000,0.03987000,16940535.60000000,16940535.60000000
2020-08-18,0.04114000,0.04114000,0.04883000,0.04883000,0.03969000,0.03969000,0.04339000,0.04339000,45845720.70000000,45845720.70000000
2020-08-17,0.03815000,0.03815000,0.04297000,0.04297000,0.03780000,0.03780000,0.04116000,0.04116000,24839821.80000000,24839821.80000000
2020-08-16,0.03579000,0.03579000,0.03849000,0.03849000,0.03563000,0.03563000,0.03815000,0.03815000,10599233.50000000,10599233.50000000
2020-08-15,0.03700000,0.03700000,0.03736000,0.03736000,0.03542000,0.03542000,0.03579000,0.03579000,7287752.50000000,7287752.50000000
2020-08-14,0.03448000,0.03448000,0.03710000,0.03710000,0.03438000,0.03438000,0.03700000,0.03700000,12853834.50000000,12853834.50000000
2020-08-13,0.03392000,0.03392000,0.03530000,0.03530000,0.03200000,0.03200000,0.03447000,0.03447000,16921821.00000000,16921821.00000000
2020-08-12,0.03320000,0.03320000,0.03640000,0.03640000,0.03211000,0.03211000,0.03382000,0.03382000,15388379.20000000,15388379.20000000
2020-08-11,0.03693000,0.03693000,0.03813000,0.03813000,0.03185000,0.03185000,0.03333000,0.03333000,19495021.80000000,19495021.80000000
2020-08-10,0.03317000,0.03317000,0.03719000,0.03719000,0.03188000,0.03188000,0.03693000,0.03693000,27505030.60000000,27505030.60000000
2020-08-09,0.03188000,0.03188000,0.03397000,0.03397000,0.03136000,0.03136000,0.03321000,0.03321000,12015797.90000000,12015797.90000000
2020-08-08,0.02905000,0.02905000,0.03221000,0.03221000,0.02897000,0.02897000,0.03188000,0.03188000,11374133.60000000,11374133.60000000
2020-08-07,0.02945000,0.02945000,0.02974000,0.02974000,0.02835000,0.02835000,0.02894000,0.02894000,5617214.50000000,5617214.50000000
2020-08-06,0.02900000,0.02900000,0.02958000,0.02958000,0.02857000,0.02857000,0.02931000,0.02931000,9896297.10000000,9896297.10000000
2020-08-05,0.02928000,0.02928000,0.02942000,0.02942000,0.02832000,0.02832000,0.02901000,0.02901000,5289291.10000000,5289291.10000000
2020-08-04,0.02897000,0.02897000,0.03000000,0.03000000,0.02842000,0.02842000,0.02914000,0.02914000,5482689.40000000,5482689.40000000
2020-08-03,0.02864000,0.02864000,0.03000000,0.03000000,0.02833000,0.02833000,0.02897000,0.02897000,4866276.50000000,4866276.50000000
2020-08-02,0.02973000,0.02973000,0.02998000,0.02998000,0.02691000,0.02691000,0.02864000,0.02864000,5393253.60000000,5393253.60000000
2020-08-01,0.02966000,0.02966000,0.03028000,0.03028000,0.02927000,0.02927000,0.02975000,0.02975000,4253190.00000000,4253190.00000000
2020-07-31,0.02953000,0.02953000,0.03041000,0.03041000,0.02932000,0.02932000,0.02960000,0.02960000,5744088.70000000,5744088.70000000
2020-07-30,0.02975000,0.02975000,0.03004000,0.03004000,0.02913000,0.02913000,0.02953000,0.02953000,3424208.50000000,3424208.50000000
2020-07-29,0.02923000,0.02923000,0.03096000,0.03096000,0.02878000,0.02878000,0.02977000,0.02977000,6508995.10000000,6508995.10000000
2020-07-28,0.02775000,0.02775000,0.02980000,0.02980000,0.02750000,0.02750000,0.02923000,0.02923000,5699470.40000000,5699470.40000000
2020-07-27,0.02986000,0.02986000,0.02995000,0.02995000,0.02628000,0.02628000,0.02812000,0.02812000,12515044.20000000,12515044.20000000
2020-07-26,0.03214000,0.03214000,0.03247000,0.03247000,0.02924000,0.02924000,0.02996000,0.02996000,7054233.80000000,7054233.80000000
2020-07-25,0.03048000,0.03048000,0.03279000,0.03279000,0.03045000,0.03045000,0.03235000,0.03235000,13463656.30000000,13463656.30000000
2020-07-24,0.03094000,0.03094000,0.03196000,0.03196000,0.03011000,0.03011000,0.03048000,0.03048000,9430355.80000000,9430355.80000000
2020-07-23,0.03274000,0.03274000,0.03275000,0.03275000,0.03044000,0.03044000,0.03091000,0.03091000,7946746.20000000,7946746.20000000
2020-07-22,0.03075000,0.03075000,0.03372000,0.03372000,0.03024000,0.03024000,0.03274000,0.03274000,10457003.30000000,10457003.30000000
2020-07-21,0.03106000,0.03106000,0.03125000,0.03125000,0.03000000,0.03000000,0.03074000,0.03074000,9165506.10000000,9165506.10000000
2020-07-20,0.03205000,0.03205000,0.03217000,0.03217000,0.03088000,0.03088000,0.03126000,0.03126000,8980174.80000000,8980174.80000000
2020-07-19,0.03003000,0.03003000,0.03381000,0.03381000,0.03003000,0.03003000,0.03205000,0.03205000,19743537.50000000,19743537.50000000
2020-07-18,0.02809000,0.02809000,0.03050000,0.03050000,0.02786000,0.02786000,0.03003000,0.03003000,15045372.60000000,15045372.60000000
2020-07-17,0.02768000,0.02768000,0.02834000,0.02834000,0.02711000,0.02711000,0.02825000,0.02825000,4145810.70000000,4145810.70000000
2020-07-16,0.02890000,0.02890000,0.02896000,0.02896000,0.02639000,0.02639000,0.02751000,0.02751000,7515152.80000000,7515152.80000000
2020-07-15,0.02852000,0.02852000,0.03071000,0.03071000,0.02828000,0.02828000,0.02894000,0.02894000,7322026.40000000,7322026.40000000
2020-07-14,0.02869000,0.02869000,0.02869000,0.02869000,0.02737000,0.02737000,0.02866000,0.02866000,5591202.80000000,5591202.80000000
2020-07-13,0.03015000,0.03015000,0.03029000,0.03029000,0.02822000,0.02822000,0.02861000,0.02861000,10316123.10000000,10316123.10000000
2020-07-12,0.02880000,0.02880000,0.03102000,0.03102000,0.02852000,0.02852000,0.03028000,0.03028000,22241625.20000000,22241625.20000000
2020-07-11,0.02780000,0.02780000,0.02879000,0.02879000,0.02756000,0.02756000,0.02864000,0.02864000,7211000.90000000,7211000.90000000
2020-07-10,0.02737000,0.02737000,0.02805000,0.02805000,0.02696000,0.02696000,0.02778000,0.02778000,8177442.10000000,8177442.10000000
2020-07-09,0.02834000,0.02834000,0.02970000,0.02970000,0.02667000,0.02667000,0.02735000,0.02735000,10941899.30000000,10941899.30000000
2020-07-08,0.02814000,0.02814000,0.02899000,0.02899000,0.02728000,0.02728000,0.02840000,0.02840000,9663542.00000000,9663542.00000000
2020-07-07,0.02709000,0.02709000,0.02826000,0.02826000,0.02648000,0.02648000,0.02801000,0.02801000,9395834.90000000,9395834.90000000
