,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,84.98000000,84.98000000,85.47000000,85.47000000,84.90000000,84.90000000,85.47000000,85.47000000,691.08596000,691.08596000
2020-08-29,84.96000000,84.96000000,86.65000000,86.65000000,84.38000000,84.38000000,85.00000000,85.00000000,36464.81833000,36464.81833000
2020-08-28,83.41000000,83.41000000,85.92000000,85.92000000,82.40000000,82.40000000,84.99000000,84.99000000,42068.11256000,42068.11256000
2020-08-27,85.79000000,85.79000000,86.53000000,86.53000000,81.77000000,81.77000000,83.35000000,83.35000000,70709.86666000,70709.86666000
2020-08-26,84.50000000,84.50000000,87.44000000,87.44000000,83.58000000,83.58000000,85.80000000,85.80000000,63162.95716000,63162.95716000
2020-08-25,91.75000000,91.75000000,91.86000000,91.86000000,82.53000000,82.53000000,84.50000000,84.50000000,83083.55733000,83083.55733000
2020-08-24,91.46000000,91.46000000,93.32000000,93.32000000,89.44000000,89.44000000,91.82000000,91.82000000,46794.77115000,46794.77115000
2020-08-23,90.79000000,90.79000000,92.96000000,92.96000000,87.76000000,87.76000000,91.41000000,91.41000000,55970.08678000,55970.08678000
2020-08-22,86.77000000,86.77000000,91.01000000,91.01000000,85.14000000,85.14000000,90.82000000,90.82000000,56258.31833000,56258.31833000
2020-08-21,91.49000000,91.49000000,95.70000000,95.70000000,85.00000000,85.00000000,86.75000000,86.75000000,137350.91804000,137350.91804000
2020-08-20,87.73000000,87.73000000,91.66000000,91.66000000,87.09000000,87.09000000,91.50000000,91.50000000,61696.00831000,61696.00831000
2020-08-19,92.71000000,92.71000000,93.81000000,93.81000000,86.81000000,86.81000000,87.72000000,87.72000000,119015.02374000,119015.02374000
2020-08-18,97.59000000,97.59000000,98.81000000,98.81000000,91.67000000,91.67000000,92.66000000,92.66000000,86146.55341000,86146.55341000
2020-08-17,95.06000000,95.06000000,100.18000000,100.18000000,92.84000000,92.84000000,97.62000000,97.62000000,144314.08124000,144314.08124000
2020-08-16,93.96000000,93.96000000,95.34000000,95.34000000,91.48000000,91.48000000,95.06000000,95.06000000,73373.07208000,73373.07208000
2020-08-15,91.98000000,91.98000000,95.97000000,95.97000000,91.12000000,91.12000000,93.95000000,93.95000000,121839.35177000,121839.35177000
2020-08-14,92.80000000,92.80000000,92.87000000,92.87000000,89.93000000,89.93000000,92.00000000,92.00000000,98465.26070000,98465.26070000
2020-08-13,91.71000000,91.71000000,93.18000000,93.18000000,85.72000000,85.72000000,92.77000000,92.77000000,89211.77617000,89211.77617000
2020-08-12,88.52000000,88.52000000,92.13000000,92.13000000,84.21000000,84.21000000,91.70000000,91.70000000,109085.01570000,109085.01570000
2020-08-11,95.45000000,95.45000000,96.60000000,96.60000000,85.73000000,85.73000000,88.55000000,88.55000000,115332.81881000,115332.81881000
2020-08-10,97.67000000,97.67000000,98.43000000,98.43000000,92.36000000,92.36000000,95.54000000,95.54000000,75664.95589000,75664.95589000
2020-08-09,98.34000000,98.34000000,98.94000000,98.94000000,94.50000000,94.50000000,97.72000000,97.72000000,83012.89681000,83012.89681000
2020-08-08,96.50000000,96.50000000,102.33000000,102.33000000,94.63000000,94.63000000,98.36000000,98.36000000,113719.73439000,113719.73439000
2020-08-07,100.41000000,100.41000000,103.92000000,103.92000000,92.66000000,92.66000000,96.53000000,96.53000000,181984.59310000,181984.59310000
2020-08-06,92.19000000,92.19000000,104.80000000,104.80000000,90.10000000,90.10000000,100.42000000,100.42000000,279733.19010000,279733.19010000
2020-08-05,86.90000000,86.90000000,93.55000000,93.55000000,85.86000000,85.86000000,92.20000000,92.20000000,148393.51049000,148393.51049000
2020-08-04,87.72000000,87.72000000,89.19000000,89.19000000,84.88000000,84.88000000,86.88000000,86.88000000,75733.64452000,75733.64452000
2020-08-03,85.29000000,85.29000000,89.73000000,89.73000000,83.78000000,83.78000000,87.72000000,87.72000000,134901.02137000,134901.02137000
2020-08-02,93.06000000,93.06000000,95.55000000,95.55000000,78.60000000,78.60000000,85.29000000,85.29000000,219477.37973000,219477.37973000
2020-08-01,82.40000000,82.40000000,94.14000000,94.14000000,81.80000000,81.80000000,93.13000000,93.13000000,184659.37417000,184659.37417000
2020-07-31,81.17000000,81.17000000,83.68000000,83.68000000,79.94000000,79.94000000,82.45000000,82.45000000,72195.53649000,72195.53649000
2020-07-30,81.39000000,81.39000000,82.41000000,82.41000000,79.20000000,79.20000000,81.15000000,81.15000000,72279.66330000,72279.66330000
2020-07-29,79.85000000,79.85000000,84.58000000,84.58000000,78.90000000,78.90000000,81.38000000,81.38000000,119087.77145000,119087.77145000
2020-07-28,77.59000000,77.59000000,80.97000000,80.97000000,75.97000000,75.97000000,79.82000000,79.82000000,107440.29158000,107440.29158000
2020-07-27,75.29000000,75.29000000,79.23000000,79.23000000,73.23000000,73.23000000,77.55000000,77.55000000,136938.87528000,136938.87528000
2020-07-26,74.66000000,74.66000000,77.45000000,77.45000000,74.18000000,74.18000000,75.30000000,75.30000000,77931.46205000,77931.46205000
2020-07-25,71.98000000,71.98000000,74.95000000,74.95000000,71.97000000,71.97000000,74.65000000,74.65000000,51346.66374000,51346.66374000
2020-07-24,73.33000000,73.33000000,73.43000000,73.43000000,71.23000000,71.23000000,71.94000000,71.94000000,39291.94215000,39291.94215000
2020-07-23,73.42000000,73.42000000,73.99000000,73.99000000,72.49000000,72.49000000,73.35000000,73.35000000,47534.36294000,47534.36294000
2020-07-22,71.07000000,71.07000000,73.50000000,73.50000000,71.07000000,71.07000000,73.38000000,73.38000000,60391.39251000,60391.39251000
2020-07-21,68.84000000,68.84000000,71.24000000,71.24000000,68.66000000,68.66000000,71.09000000,71.09000000,41908.90375000,41908.90375000
2020-07-20,70.35000000,70.35000000,70.42000000,70.42000000,68.61000000,68.61000000,68.86000000,68.86000000,26974.05406000,26974.05406000
2020-07-19,69.20000000,69.20000000,70.42000000,70.42000000,68.73000000,68.73000000,70.35000000,70.35000000,24125.73260000,24125.73260000
2020-07-18,69.52000000,69.52000000,69.70000000,69.70000000,68.63000000,68.63000000,69.20000000,69.20000000,20300.08423000,20300.08423000
2020-07-17,69.30000000,69.30000000,70.10000000,70.10000000,68.73000000,68.73000000,69.58000000,69.58000000,29715.22806000,29715.22806000
2020-07-16,71.11000000,71.11000000,71.41000000,71.41000000,68.05000000,68.05000000,69.28000000,69.28000000,49571.98171000,49571.98171000
2020-07-15,71.97000000,71.97000000,72.24000000,72.24000000,70.55000000,70.55000000,71.12000000,71.12000000,49624.30220000,49624.30220000
2020-07-14,71.83000000,71.83000000,72.61000000,72.61000000,70.02000000,70.02000000,71.82000000,71.82000000,57652.42818000,57652.42818000
2020-07-13,72.13000000,72.13000000,75.72000000,75.72000000,70.93000000,70.93000000,71.84000000,71.84000000,84435.76248000,84435.76248000
2020-07-12,72.68000000,72.68000000,73.17000000,73.17000000,70.82000000,70.82000000,72.05000000,72.05000000,62953.67605000,62953.67605000
2020-07-11,71.82000000,71.82000000,73.00000000,73.00000000,71.32000000,71.32000000,72.68000000,72.68000000,39543.60747000,39543.60747000
2020-07-10,71.85000000,71.85000000,71.94000000,71.94000000,70.16000000,70.16000000,71.75000000,71.75000000,41398.10652000,41398.10652000
2020-07-09,72.70000000,72.70000000,73.88000000,73.88000000,70.49000000,70.49000000,71.86000000,71.86000000,58625.63943000,58625.63943000
