,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.05990000,0.05990000,0.06043000,0.06043000,0.05927000,0.05927000,0.05985000,0.05985000,219597.30000000,219597.30000000
2020-08-29,0.05779000,0.05779000,0.06180000,0.06180000,0.05741000,0.05741000,0.05989000,0.05989000,4468457.10000000,4468457.10000000
2020-08-28,0.05585000,0.05585000,0.05850000,0.05850000,0.05412000,0.05412000,0.05793000,0.05793000,2345928.60000000,2345928.60000000
2020-08-27,0.05849000,0.05849000,0.05889000,0.05889000,0.05318000,0.05318000,0.05549000,0.05549000,3058010.50000000,3058010.50000000
2020-08-26,0.05792000,0.05792000,0.06007000,0.06007000,0.05700000,0.05700000,0.05819000,0.05819000,2581143.20000000,2581143.20000000
2020-08-25,0.06276000,0.06276000,0.06289000,0.06289000,0.05380000,0.05380000,0.05826000,0.05826000,6048152.70000000,6048152.70000000
2020-08-24,0.06229000,0.06229000,0.06422000,0.06422000,0.05975000,0.05975000,0.06265000,0.06265000,9600157.00000000,9600157.00000000
2020-08-23,0.06440000,0.06440000,0.07547000,0.07547000,0.05901000,0.05901000,0.06229000,0.06229000,28484886.40000000,28484886.40000000
2020-08-22,0.05812000,0.05812000,0.06490000,0.06490000,0.05536000,0.05536000,0.06440000,0.06440000,4140037.50000000,4140037.50000000
2020-08-21,0.06473000,0.06473000,0.06654000,0.06654000,0.05793000,0.05793000,0.05808000,0.05808000,4789587.10000000,4789587.10000000
2020-08-20,0.05938000,0.05938000,0.06654000,0.06654000,0.05860000,0.05860000,0.06467000,0.06467000,4769707.80000000,4769707.80000000
2020-08-19,0.06102000,0.06102000,0.06267000,0.06267000,0.05663000,0.05663000,0.05895000,0.05895000,5035957.20000000,5035957.20000000
2020-08-18,0.06403000,0.06403000,0.06611000,0.06611000,0.06028000,0.06028000,0.06140000,0.06140000,4230575.10000000,4230575.10000000
2020-08-17,0.06996000,0.06996000,0.07031000,0.07031000,0.06202000,0.06202000,0.06403000,0.06403000,9375614.80000000,9375614.80000000
2020-08-16,0.06675000,0.06675000,0.06997000,0.06997000,0.06590000,0.06590000,0.06997000,0.06997000,8913139.70000000,8913139.70000000
2020-08-15,0.06936000,0.06936000,0.06976000,0.06976000,0.06542000,0.06542000,0.06693000,0.06693000,6928276.80000000,6928276.80000000
2020-08-14,0.07255000,0.07255000,0.07898000,0.07898000,0.06714000,0.06714000,0.06925000,0.06925000,25329634.20000000,25329634.20000000
2020-08-13,0.05821000,0.05821000,0.07699000,0.07699000,0.05477000,0.05477000,0.07204000,0.07204000,29693345.40000000,29693345.40000000
2020-08-12,0.05486000,0.05486000,0.05999000,0.05999000,0.05282000,0.05282000,0.05817000,0.05817000,6165590.40000000,6165590.40000000
2020-08-11,0.05900000,0.05900000,0.06199000,0.06199000,0.05297000,0.05297000,0.05486000,0.05486000,9230384.40000000,9230384.40000000
2020-08-10,0.05683000,0.05683000,0.05960000,0.05960000,0.05280000,0.05280000,0.05885000,0.05885000,9820404.90000000,9820404.90000000
2020-08-09,0.05455000,0.05455000,0.05797000,0.05797000,0.05407000,0.05407000,0.05683000,0.05683000,7335748.80000000,7335748.80000000
2020-08-08,0.05104000,0.05104000,0.05649000,0.05649000,0.05061000,0.05061000,0.05478000,0.05478000,10699466.90000000,10699466.90000000
2020-08-07,0.05099000,0.05099000,0.05425000,0.05425000,0.04918000,0.04918000,0.05079000,0.05079000,8647744.30000000,8647744.30000000
2020-08-06,0.04951000,0.04951000,0.05130000,0.05130000,0.04865000,0.04865000,0.05099000,0.05099000,5782676.50000000,5782676.50000000
2020-08-05,0.05039000,0.05039000,0.05056000,0.05056000,0.04857000,0.04857000,0.04931000,0.04931000,4252369.80000000,4252369.80000000
2020-08-04,0.04883000,0.04883000,0.05070000,0.05070000,0.04849000,0.04849000,0.05055000,0.05055000,4598120.70000000,4598120.70000000
2020-08-03,0.05046000,0.05046000,0.05049000,0.05049000,0.04658000,0.04658000,0.04857000,0.04857000,5116981.00000000,5116981.00000000
2020-08-02,0.04909000,0.04909000,0.05194000,0.05194000,0.04526000,0.04526000,0.05046000,0.05046000,7391928.20000000,7391928.20000000
2020-08-01,0.04960000,0.04960000,0.05048000,0.05048000,0.04848000,0.04848000,0.04909000,0.04909000,5389436.00000000,5389436.00000000
2020-07-31,0.05023000,0.05023000,0.05200000,0.05200000,0.04960000,0.04960000,0.04960000,0.04960000,2329783.80000000,2329783.80000000
2020-07-30,0.04953000,0.04953000,0.05134000,0.05134000,0.04930000,0.04930000,0.05010000,0.05010000,3321264.50000000,3321264.50000000
2020-07-29,0.05244000,0.05244000,0.05320000,0.05320000,0.04927000,0.04927000,0.04957000,0.04957000,3267617.10000000,3267617.10000000
2020-07-28,0.04842000,0.04842000,0.05288000,0.05288000,0.04753000,0.04753000,0.05244000,0.05244000,5133164.10000000,5133164.10000000
2020-07-27,0.05073000,0.05073000,0.05178000,0.05178000,0.04752000,0.04752000,0.04842000,0.04842000,5736730.40000000,5736730.40000000
2020-07-26,0.05288000,0.05288000,0.05296000,0.05296000,0.04805000,0.04805000,0.05054000,0.05054000,6005497.40000000,6005497.40000000
2020-07-25,0.05273000,0.05273000,0.05473000,0.05473000,0.05219000,0.05219000,0.05289000,0.05289000,5028572.90000000,5028572.90000000
2020-07-24,0.05527000,0.05527000,0.05527000,0.05527000,0.05228000,0.05228000,0.05273000,0.05273000,4869889.10000000,4869889.10000000
2020-07-23,0.05541000,0.05541000,0.05683000,0.05683000,0.05403000,0.05403000,0.05520000,0.05520000,6352402.90000000,6352402.90000000
2020-07-22,0.05503000,0.05503000,0.05859000,0.05859000,0.05402000,0.05402000,0.05540000,0.05540000,9205675.20000000,9205675.20000000
2020-07-21,0.05690000,0.05690000,0.05850000,0.05850000,0.05433000,0.05433000,0.05519000,0.05519000,4269148.50000000,4269148.50000000
2020-07-20,0.05669000,0.05669000,0.05950000,0.05950000,0.05532000,0.05532000,0.05696000,0.05696000,9159876.00000000,9159876.00000000
2020-07-19,0.05954000,0.05954000,0.05979000,0.05979000,0.05600000,0.05600000,0.05670000,0.05670000,5629366.60000000,5629366.60000000
2020-07-18,0.06153000,0.06153000,0.06197000,0.06197000,0.05758000,0.05758000,0.05954000,0.05954000,5277481.40000000,5277481.40000000
