,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,17.02000000,17.02000000,17.11600000,17.11600000,16.89300000,16.89300000,17.11600000,17.11600000,429.68300000,429.68300000
2020-08-29,17.46400000,17.46400000,17.67000000,17.67000000,17.00000000,17.00000000,17.12800000,17.12800000,16626.42800000,16626.42800000
2020-08-28,16.77400000,16.77400000,17.71300000,17.71300000,16.58900000,16.58900000,17.40600000,17.40600000,5931.80600000,5931.80600000
2020-08-27,17.99000000,17.99000000,17.99700000,17.99700000,16.32500000,16.32500000,16.77500000,16.77500000,10460.15000000,10460.15000000
2020-08-26,17.51100000,17.51100000,19.50000000,19.50000000,17.25300000,17.25300000,17.90300000,17.90300000,7736.11300000,7736.11300000
2020-08-25,19.22200000,19.22200000,19.57000000,19.57000000,16.55300000,16.55300000,17.51100000,17.51100000,20336.99800000,20336.99800000
2020-08-24,19.61500000,19.61500000,20.75000000,20.75000000,18.53500000,18.53500000,19.22200000,19.22200000,22363.21900000,22363.21900000
2020-08-23,20.91400000,20.91400000,21.74000000,21.74000000,19.21200000,19.21200000,19.69400000,19.69400000,22506.25700000,22506.25700000
2020-08-22,17.76500000,17.76500000,24.99000000,24.99000000,17.60100000,17.60100000,20.90100000,20.90100000,121704.24500000,121704.24500000
2020-08-21,17.20800000,17.20800000,19.25000000,19.25000000,16.36000000,16.36000000,17.82900000,17.82900000,35248.81100000,35248.81100000
2020-08-20,16.71000000,16.71000000,17.29000000,17.29000000,16.43300000,16.43300000,17.22000000,17.22000000,5742.26500000,5742.26500000
2020-08-19,17.00100000,17.00100000,17.11100000,17.11100000,16.11100000,16.11100000,16.68700000,16.68700000,10817.52300000,10817.52300000
2020-08-18,17.76200000,17.76200000,18.16000000,18.16000000,16.71000000,16.71000000,16.99600000,16.99600000,13550.63000000,13550.63000000
2020-08-17,17.49900000,17.49900000,18.50000000,18.50000000,17.06100000,17.06100000,17.68400000,17.68400000,14278.27300000,14278.27300000
2020-08-16,16.71700000,16.71700000,18.00000000,18.00000000,16.66500000,16.66500000,17.50000000,17.50000000,11538.47100000,11538.47100000
2020-08-15,17.05700000,17.05700000,17.38400000,17.38400000,16.48500000,16.48500000,16.72400000,16.72400000,12296.33100000,12296.33100000
2020-08-14,16.76200000,16.76200000,21.97000000,21.97000000,16.29000000,16.29000000,17.05900000,17.05900000,25059.15100000,25059.15100000
2020-08-13,15.95000000,15.95000000,16.80000000,16.80000000,15.37700000,15.37700000,16.76200000,16.76200000,16046.06500000,16046.06500000
2020-08-12,15.83400000,15.83400000,15.98500000,15.98500000,15.22000000,15.22000000,15.93200000,15.93200000,5919.97300000,5919.97300000
2020-08-11,16.66800000,16.66800000,16.86100000,16.86100000,15.46000000,15.46000000,15.99900000,15.99900000,11830.15900000,11830.15900000
2020-08-10,16.48300000,16.48300000,16.99900000,16.99900000,16.02600000,16.02600000,16.74500000,16.74500000,11718.08900000,11718.08900000
2020-08-09,16.39800000,16.39800000,16.70300000,16.70300000,16.05100000,16.05100000,16.49100000,16.49100000,8195.97100000,8195.97100000
2020-08-08,16.12900000,16.12900000,16.54600000,16.54600000,15.92200000,15.92200000,16.24300000,16.24300000,3350.94300000,3350.94300000
2020-08-07,16.48200000,16.48200000,16.60000000,16.60000000,15.42800000,15.42800000,16.02200000,16.02200000,6256.31700000,6256.31700000
2020-08-06,16.49900000,16.49900000,16.79600000,16.79600000,16.26100000,16.26100000,16.61300000,16.61300000,2465.63200000,2465.63200000
2020-08-05,16.30600000,16.30600000,17.04300000,17.04300000,15.90900000,15.90900000,16.75900000,16.75900000,8399.97100000,8399.97100000
2020-08-04,16.75300000,16.75300000,17.99000000,17.99000000,15.83300000,15.83300000,16.32500000,16.32500000,6714.77600000,6714.77600000
2020-08-03,15.57100000,15.57100000,17.17500000,17.17500000,15.50000000,15.50000000,16.75400000,16.75400000,10201.94100000,10201.94100000
2020-08-02,17.17800000,17.17800000,25.00000000,25.00000000,13.99800000,13.99800000,15.69200000,15.69200000,13649.93100000,13649.93100000
2020-08-01,15.29800000,15.29800000,17.57700000,17.57700000,15.19900000,15.19900000,17.17700000,17.17700000,5597.19600000,5597.19600000
2020-07-31,15.66400000,15.66400000,15.80000000,15.80000000,15.13300000,15.13300000,15.29800000,15.29800000,4514.69800000,4514.69800000
2020-07-30,15.44600000,15.44600000,22.90000000,22.90000000,6.00200000,6.00200000,15.66500000,15.66500000,2899.77900000,2899.77900000
