,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.00030320,0.00030320,0.00030320,0.00030320,0.00030070,0.00030070,0.00030070,0.00030070,96375453.00000000,96375453.00000000
2020-08-29,0.00031120,0.00031120,0.00031400,0.00031400,0.00029830,0.00029830,0.00030320,0.00030320,775462191.00000000,775462191.00000000
2020-08-28,0.00031310,0.00031310,0.00033500,0.00033500,0.00030850,0.00030850,0.00030890,0.00030890,1287095374.00000000,1287095374.00000000
2020-08-27,0.00030070,0.00030070,0.00034250,0.00034250,0.00029640,0.00029640,0.00031320,0.00031320,2088754707.00000000,2088754707.00000000
2020-08-26,0.00026820,0.00026820,0.00034000,0.00034000,0.00026400,0.00026400,0.00029930,0.00029930,4513151449.00000000,4513151449.00000000
2020-08-25,0.00029030,0.00029030,0.00029150,0.00029150,0.00026100,0.00026100,0.00026860,0.00026860,712104651.00000000,712104651.00000000
2020-08-24,0.00027580,0.00027580,0.00029350,0.00029350,0.00027440,0.00027440,0.00029030,0.00029030,634891689.00000000,634891689.00000000
2020-08-23,0.00027100,0.00027100,0.00028320,0.00028320,0.00026470,0.00026470,0.00027610,0.00027610,998381327.00000000,998381327.00000000
2020-08-22,0.00028340,0.00028340,0.00028610,0.00028610,0.00026810,0.00026810,0.00027100,0.00027100,1019450153.00000000,1019450153.00000000
2020-08-21,0.00030430,0.00030430,0.00030810,0.00030810,0.00028000,0.00028000,0.00028320,0.00028320,685607198.00000000,685607198.00000000
2020-08-20,0.00030160,0.00030160,0.00030930,0.00030930,0.00029760,0.00029760,0.00030430,0.00030430,579189675.00000000,579189675.00000000
2020-08-19,0.00032320,0.00032320,0.00033580,0.00033580,0.00029510,0.00029510,0.00030010,0.00030010,767963126.00000000,767963126.00000000
2020-08-18,0.00034440,0.00034440,0.00035090,0.00035090,0.00031330,0.00031330,0.00032310,0.00032310,869834926.00000000,869834926.00000000
2020-08-17,0.00033040,0.00033040,0.00035560,0.00035560,0.00032050,0.00032050,0.00034440,0.00034440,1345366641.00000000,1345366641.00000000
2020-08-16,0.00031800,0.00031800,0.00033250,0.00033250,0.00030900,0.00030900,0.00033050,0.00033050,916768741.00000000,916768741.00000000
2020-08-15,0.00031370,0.00031370,0.00032000,0.00032000,0.00031070,0.00031070,0.00031790,0.00031790,610971442.00000000,610971442.00000000
2020-08-14,0.00031650,0.00031650,0.00031670,0.00031670,0.00030610,0.00030610,0.00031480,0.00031480,726675612.00000000,726675612.00000000
2020-08-13,0.00031500,0.00031500,0.00032460,0.00032460,0.00030790,0.00030790,0.00031510,0.00031510,1001390889.00000000,1001390889.00000000
2020-08-12,0.00031030,0.00031030,0.00032320,0.00032320,0.00029550,0.00029550,0.00031500,0.00031500,1331242698.00000000,1331242698.00000000
2020-08-11,0.00034760,0.00034760,0.00034760,0.00034760,0.00029650,0.00029650,0.00031200,0.00031200,1360505916.00000000,1360505916.00000000
2020-08-10,0.00033100,0.00033100,0.00035500,0.00035500,0.00031870,0.00031870,0.00034590,0.00034590,2177171267.00000000,2177171267.00000000
2020-08-09,0.00032620,0.00032620,0.00033470,0.00033470,0.00032180,0.00032180,0.00033090,0.00033090,911509738.00000000,911509738.00000000
2020-08-08,0.00032770,0.00032770,0.00034450,0.00034450,0.00032190,0.00032190,0.00032590,0.00032590,1682634119.00000000,1682634119.00000000
2020-08-07,0.00034510,0.00034510,0.00039350,0.00039350,0.00031840,0.00031840,0.00032780,0.00032780,4740012386.00000000,4740012386.00000000
2020-08-06,0.00024690,0.00024690,0.00043360,0.00043360,0.00024690,0.00024690,0.00034510,0.00034510,13277623975.00000000,13277623975.00000000
2020-08-05,0.00022640,0.00022640,0.00025000,0.00025000,0.00022000,0.00022000,0.00024690,0.00024690,1337503780.00000000,1337503780.00000000
2020-08-04,0.00022530,0.00022530,0.00022780,0.00022780,0.00022310,0.00022310,0.00022520,0.00022520,415496723.00000000,415496723.00000000
2020-08-03,0.00023000,0.00023000,0.00023400,0.00023400,0.00022350,0.00022350,0.00022510,0.00022510,547234864.00000000,547234864.00000000
2020-08-02,0.00023600,0.00023600,0.00024240,0.00024240,0.00021930,0.00021930,0.00022870,0.00022870,920560925.00000000,920560925.00000000
2020-08-01,0.00022800,0.00022800,0.00024110,0.00024110,0.00022780,0.00022780,0.00023600,0.00023600,702595205.00000000,702595205.00000000
2020-07-31,0.00023890,0.00023890,0.00024100,0.00024100,0.00022310,0.00022310,0.00022890,0.00022890,1379192036.00000000,1379192036.00000000
2020-07-30,0.00020350,0.00020350,0.00024500,0.00024500,0.00020200,0.00020200,0.00023860,0.00023860,3397110107.00000000,3397110107.00000000
2020-07-29,0.00020360,0.00020360,0.00020710,0.00020710,0.00019970,0.00019970,0.00020350,0.00020350,590489073.00000000,590489073.00000000
2020-07-28,0.00020130,0.00020130,0.00020520,0.00020520,0.00019710,0.00019710,0.00020370,0.00020370,797763680.00000000,797763680.00000000
2020-07-27,0.00021500,0.00021500,0.00022420,0.00022420,0.00019950,0.00019950,0.00020150,0.00020150,1927837457.00000000,1927837457.00000000
2020-07-26,0.00021730,0.00021730,0.00021870,0.00021870,0.00020630,0.00020630,0.00021460,0.00021460,769532893.00000000,769532893.00000000
2020-07-25,0.00020720,0.00020720,0.00021740,0.00021740,0.00020590,0.00020590,0.00021620,0.00021620,848902591.00000000,848902591.00000000
2020-07-24,0.00021000,0.00021000,0.00022150,0.00022150,0.00020560,0.00020560,0.00020580,0.00020580,1036368158.00000000,1036368158.00000000
2020-07-23,0.00021580,0.00021580,0.00021850,0.00021850,0.00021010,0.00021010,0.00021060,0.00021060,627681387.00000000,627681387.00000000
2020-07-22,0.00020810,0.00020810,0.00022180,0.00022180,0.00020440,0.00020440,0.00021430,0.00021430,857909727.00000000,857909727.00000000
2020-07-21,0.00020800,0.00020800,0.00021170,0.00021170,0.00020630,0.00020630,0.00020800,0.00020800,492137115.00000000,492137115.00000000
2020-07-20,0.00020620,0.00020620,0.00021300,0.00021300,0.00020440,0.00020440,0.00020800,0.00020800,635584117.00000000,635584117.00000000
2020-07-19,0.00020870,0.00020870,0.00021530,0.00021530,0.00019860,0.00019860,0.00020560,0.00020560,685011182.00000000,685011182.00000000
2020-07-18,0.00020050,0.00020050,0.00021460,0.00021460,0.00019710,0.00019710,0.00020880,0.00020880,825896004.00000000,825896004.00000000
2020-07-17,0.00021020,0.00021020,0.00021120,0.00021120,0.00020010,0.00020010,0.00020050,0.00020050,617406277.00000000,617406277.00000000
2020-07-16,0.00020550,0.00020550,0.00021740,0.00021740,0.00019830,0.00019830,0.00021030,0.00021030,1177386142.00000000,1177386142.00000000
2020-07-15,0.00021300,0.00021300,0.00021440,0.00021440,0.00019000,0.00019000,0.00020500,0.00020500,1472489885.00000000,1472489885.00000000
2020-07-14,0.00021210,0.00021210,0.00021730,0.00021730,0.00020250,0.00020250,0.00021300,0.00021300,555999843.00000000,555999843.00000000
2020-07-13,0.00022590,0.00022590,0.00022690,0.00022690,0.00021100,0.00021100,0.00021190,0.00021190,887340827.00000000,887340827.00000000
