,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.02745000,0.02745000,0.02751000,0.02751000,0.02707000,0.02707000,0.02732000,0.02732000,648819.80000000,648819.80000000
2020-08-29,0.02736000,0.02736000,0.02782000,0.02782000,0.02700000,0.02700000,0.02755000,0.02755000,17166932.40000000,17166932.40000000
2020-08-28,0.02718000,0.02718000,0.02848000,0.02848000,0.02695000,0.02695000,0.02736000,0.02736000,22048918.40000000,22048918.40000000
2020-08-27,0.02864000,0.02864000,0.02871000,0.02871000,0.02644000,0.02644000,0.02705000,0.02705000,29893394.50000000,29893394.50000000
2020-08-26,0.02931000,0.02931000,0.03055000,0.03055000,0.02822000,0.02822000,0.02864000,0.02864000,26262220.30000000,26262220.30000000
2020-08-25,0.03089000,0.03089000,0.03199000,0.03199000,0.02750000,0.02750000,0.02936000,0.02936000,40329108.80000000,40329108.80000000
2020-08-24,0.02863000,0.02863000,0.03150000,0.03150000,0.02803000,0.02803000,0.03077000,0.03077000,33210108.80000000,33210108.80000000
2020-08-23,0.03025000,0.03025000,0.03041000,0.03041000,0.02802000,0.02802000,0.02863000,0.02863000,16157822.90000000,16157822.90000000
2020-08-22,0.02968000,0.02968000,0.03048000,0.03048000,0.02850000,0.02850000,0.03011000,0.03011000,19390884.10000000,19390884.10000000
2020-08-21,0.03206000,0.03206000,0.03263000,0.03263000,0.02902000,0.02902000,0.02965000,0.02965000,28346668.70000000,28346668.70000000
2020-08-20,0.03131000,0.03131000,0.03332000,0.03332000,0.03097000,0.03097000,0.03212000,0.03212000,21966968.80000000,21966968.80000000
2020-08-19,0.03334000,0.03334000,0.03399000,0.03399000,0.03050000,0.03050000,0.03129000,0.03129000,31591185.40000000,31591185.40000000
2020-08-18,0.03478000,0.03478000,0.03513000,0.03513000,0.03232000,0.03232000,0.03336000,0.03336000,28180126.20000000,28180126.20000000
2020-08-17,0.03700000,0.03700000,0.03724000,0.03724000,0.03367000,0.03367000,0.03472000,0.03472000,34418528.80000000,34418528.80000000
2020-08-16,0.03539000,0.03539000,0.03700000,0.03700000,0.03280000,0.03280000,0.03687000,0.03687000,45452776.40000000,45452776.40000000
2020-08-15,0.03441000,0.03441000,0.03789000,0.03789000,0.03220000,0.03220000,0.03539000,0.03539000,86425986.59999999,86425986.59999999
2020-08-14,0.03135000,0.03135000,0.03515000,0.03515000,0.03050000,0.03050000,0.03442000,0.03442000,56029245.60000000,56029245.60000000
2020-08-13,0.03209000,0.03209000,0.03225000,0.03225000,0.02962000,0.02962000,0.03135000,0.03135000,33655577.00000000,33655577.00000000
2020-08-12,0.03049000,0.03049000,0.03213000,0.03213000,0.02910000,0.02910000,0.03199000,0.03199000,47504048.90000000,47504048.90000000
2020-08-11,0.03210000,0.03210000,0.03210000,0.03210000,0.02840000,0.02840000,0.03032000,0.03032000,65167173.60000000,65167173.60000000
2020-08-10,0.02936000,0.02936000,0.03210000,0.03210000,0.02810000,0.02810000,0.03205000,0.03205000,63959637.00000000,63959637.00000000
2020-08-09,0.02887000,0.02887000,0.03033000,0.03033000,0.02840000,0.02840000,0.02937000,0.02937000,46222731.20000000,46222731.20000000
2020-08-08,0.02741000,0.02741000,0.02914000,0.02914000,0.02688000,0.02688000,0.02887000,0.02887000,26830305.60000000,26830305.60000000
2020-08-07,0.02758000,0.02758000,0.02846000,0.02846000,0.02600000,0.02600000,0.02741000,0.02741000,29484051.90000000,29484051.90000000
2020-08-06,0.02624000,0.02624000,0.02762000,0.02762000,0.02605000,0.02605000,0.02758000,0.02758000,23311506.10000000,23311506.10000000
2020-08-05,0.02609000,0.02609000,0.02654000,0.02654000,0.02542000,0.02542000,0.02614000,0.02614000,25695627.70000000,25695627.70000000
2020-08-04,0.02647000,0.02647000,0.02700000,0.02700000,0.02533000,0.02533000,0.02615000,0.02615000,25190715.30000000,25190715.30000000
