,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.00482100,0.00482100,0.00484400,0.00484400,0.00478500,0.00478500,0.00480500,0.00480500,469657.00000000,469657.00000000
2020-08-29,0.00479200,0.00479200,0.00485200,0.00485200,0.00468600,0.00468600,0.00482000,0.00482000,17024186.00000000,17024186.00000000
2020-08-28,0.00460500,0.00460500,0.00479300,0.00479300,0.00458300,0.00458300,0.00479000,0.00479000,8576398.00000000,8576398.00000000
2020-08-27,0.00485500,0.00485500,0.00493700,0.00493700,0.00445500,0.00445500,0.00462100,0.00462100,28142845.00000000,28142845.00000000
2020-08-26,0.00473000,0.00473000,0.00498700,0.00498700,0.00459900,0.00459900,0.00489300,0.00489300,26796127.00000000,26796127.00000000
2020-08-25,0.00500800,0.00500800,0.00501800,0.00501800,0.00454600,0.00454600,0.00471900,0.00471900,13720517.00000000,13720517.00000000
2020-08-24,0.00485400,0.00485400,0.00507900,0.00507900,0.00477900,0.00477900,0.00500600,0.00500600,17552795.00000000,17552795.00000000
2020-08-23,0.00476400,0.00476400,0.00499100,0.00499100,0.00470000,0.00470000,0.00487300,0.00487300,16375708.00000000,16375708.00000000
2020-08-22,0.00483300,0.00483300,0.00497000,0.00497000,0.00460900,0.00460900,0.00476500,0.00476500,44671359.00000000,44671359.00000000
2020-08-21,0.00528400,0.00528400,0.00543200,0.00543200,0.00482800,0.00482800,0.00483100,0.00483100,39141006.00000000,39141006.00000000
2020-08-20,0.00518100,0.00518100,0.00530400,0.00530400,0.00507900,0.00507900,0.00528400,0.00528400,20674195.00000000,20674195.00000000
2020-08-19,0.00566000,0.00566000,0.00586900,0.00586900,0.00501200,0.00501200,0.00524100,0.00524100,49684323.00000000,49684323.00000000
2020-08-18,0.00561100,0.00561100,0.00588500,0.00588500,0.00544800,0.00544800,0.00562600,0.00562600,70371895.00000000,70371895.00000000
2020-08-17,0.00520800,0.00520800,0.00581900,0.00581900,0.00517600,0.00517600,0.00561200,0.00561200,98167145.00000000,98167145.00000000
2020-08-16,0.00527400,0.00527400,0.00532500,0.00532500,0.00508000,0.00508000,0.00520200,0.00520200,21829500.00000000,21829500.00000000
2020-08-15,0.00513600,0.00513600,0.00535300,0.00535300,0.00454500,0.00454500,0.00530600,0.00530600,46615810.00000000,46615810.00000000
2020-08-14,0.00514200,0.00514200,0.00545400,0.00545400,0.00496000,0.00496000,0.00513600,0.00513600,63045090.00000000,63045090.00000000
2020-08-13,0.00522900,0.00522900,0.00536800,0.00536800,0.00490700,0.00490700,0.00513300,0.00513300,71538432.00000000,71538432.00000000
2020-08-12,0.00491800,0.00491800,0.00530000,0.00530000,0.00475900,0.00475900,0.00522900,0.00522900,103110573.00000000,103110573.00000000
2020-08-11,0.00483300,0.00483300,0.00553900,0.00553900,0.00461100,0.00461100,0.00491700,0.00491700,180254872.00000000,180254872.00000000
2020-08-10,0.00452600,0.00452600,0.00496700,0.00496700,0.00442100,0.00442100,0.00484700,0.00484700,103772517.00000000,103772517.00000000
2020-08-09,0.00459000,0.00459000,0.00479800,0.00479800,0.00448500,0.00448500,0.00451000,0.00451000,44556278.00000000,44556278.00000000
2020-08-08,0.00451200,0.00451200,0.00469100,0.00469100,0.00447400,0.00447400,0.00457500,0.00457500,47242733.00000000,47242733.00000000
2020-08-07,0.00474500,0.00474500,0.00482800,0.00482800,0.00431900,0.00431900,0.00451300,0.00451300,45997675.00000000,45997675.00000000
2020-08-06,0.00449000,0.00449000,0.00497200,0.00497200,0.00445200,0.00445200,0.00474300,0.00474300,85189318.00000000,85189318.00000000
2020-08-05,0.00454100,0.00454100,0.00479000,0.00479000,0.00440000,0.00440000,0.00448800,0.00448800,29991514.00000000,29991514.00000000
2020-08-04,0.00441300,0.00441300,0.00484300,0.00484300,0.00441000,0.00441000,0.00455900,0.00455900,41662102.00000000,41662102.00000000
2020-08-03,0.00408400,0.00408400,0.00465000,0.00465000,0.00404800,0.00404800,0.00440900,0.00440900,69218814.00000000,69218814.00000000
2020-08-02,0.00457000,0.00457000,0.00463400,0.00463400,0.00296600,0.00296600,0.00410500,0.00410500,81476362.00000000,81476362.00000000
2020-08-01,0.00452400,0.00452400,0.00459700,0.00459700,0.00440100,0.00440100,0.00457000,0.00457000,48679140.00000000,48679140.00000000
2020-07-31,0.00486400,0.00486400,0.00486800,0.00486800,0.00446100,0.00446100,0.00453700,0.00453700,45798921.00000000,45798921.00000000
