,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.79600000,0.79600000,0.79970000,0.79970000,0.79500000,0.79500000,0.79800000,0.79800000,8865.20000000,8865.20000000
2020-08-29,0.78190000,0.78190000,0.81420000,0.81420000,0.77700000,0.77700000,0.79580000,0.79580000,404543.30000000,404543.30000000
2020-08-28,0.75050000,0.75050000,0.79000000,0.79000000,0.74390000,0.74390000,0.78490000,0.78490000,317788.19000000,317788.19000000
2020-08-27,0.83130000,0.83130000,0.83450000,0.83450000,0.71810000,0.71810000,0.75050000,0.75050000,683116.93000000,683116.93000000
2020-08-26,0.81330000,0.81330000,0.83500000,0.83500000,0.78000000,0.78000000,0.83500000,0.83500000,437680.61000000,437680.61000000
2020-08-25,0.89510000,0.89510000,0.89960000,0.89960000,0.76950000,0.76950000,0.81260000,0.81260000,963341.57000000,963341.57000000
2020-08-24,0.90610000,0.90610000,0.91400000,0.91400000,0.86080000,0.86080000,0.89950000,0.89950000,739695.51000000,739695.51000000
2020-08-23,0.97930000,0.97930000,0.98830000,0.98830000,0.87500000,0.87500000,0.90610000,0.90610000,731220.04000000,731220.04000000
2020-08-22,0.85990000,0.85990000,0.99950000,0.99950000,0.82520000,0.82520000,0.97990000,0.97990000,1568339.10000000,1568339.10000000
2020-08-21,0.85930000,0.85930000,0.92070000,0.92070000,0.82510000,0.82510000,0.85310000,0.85310000,2150697.18000000,2150697.18000000
2020-08-20,0.81450000,0.81450000,0.86640000,0.86640000,0.77510000,0.77510000,0.85930000,0.85930000,1036859.53000000,1036859.53000000
2020-08-19,0.82500000,0.82500000,0.88880000,0.88880000,0.75000000,0.75000000,0.81450000,0.81450000,2247666.06000000,2247666.06000000
2020-08-18,0.77670000,0.77670000,0.84520000,0.84520000,0.74110000,0.74110000,0.82500000,0.82500000,702889.75000000,702889.75000000
2020-08-17,0.79470000,0.79470000,0.81850000,0.81850000,0.75720000,0.75720000,0.77670000,0.77670000,565127.52000000,565127.52000000
2020-08-16,0.77200000,0.77200000,0.82180000,0.82180000,0.74000000,0.74000000,0.78970000,0.78970000,428226.03000000,428226.03000000
2020-08-15,0.80230000,0.80230000,0.81030000,0.81030000,0.75400000,0.75400000,0.77200000,0.77200000,438650.57000000,438650.57000000
2020-08-14,0.78670000,0.78670000,0.84000000,0.84000000,0.78000000,0.78000000,0.79760000,0.79760000,1026031.53000000,1026031.53000000
2020-08-13,0.79960000,0.79960000,0.84960000,0.84960000,0.73010000,0.73010000,0.78670000,0.78670000,856108.58000000,856108.58000000
2020-08-12,0.72520000,0.72520000,0.85000000,0.85000000,0.69380000,0.69380000,0.79950000,0.79950000,1011283.53000000,1011283.53000000
2020-08-11,0.74080000,0.74080000,0.88170000,0.88170000,0.67600000,0.67600000,0.72930000,0.72930000,1105159.57000000,1105159.57000000
