,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,1.65200000,1.65200000,1.67600000,1.67600000,1.64400000,1.64400000,1.67000000,1.67000000,95846.11100000,95846.11100000
2020-08-29,1.58800000,1.58800000,1.70700000,1.70700000,1.54800000,1.54800000,1.65300000,1.65300000,3388331.51700000,3388331.51700000
2020-08-28,1.55100000,1.55100000,1.62900000,1.62900000,1.51400000,1.51400000,1.58800000,1.58800000,2098030.41400000,2098030.41400000
2020-08-27,1.62900000,1.62900000,1.64600000,1.64600000,1.49400000,1.49400000,1.54900000,1.54900000,2198813.01200000,2198813.01200000
2020-08-26,1.58700000,1.58700000,1.64900000,1.64900000,1.55800000,1.55800000,1.62700000,1.62700000,1987901.11200000,1987901.11200000
2020-08-25,1.68500000,1.68500000,1.69700000,1.69700000,1.53100000,1.53100000,1.58600000,1.58600000,2997342.29900000,2997342.29900000
2020-08-24,1.71400000,1.71400000,1.73000000,1.73000000,1.66000000,1.66000000,1.68400000,1.68400000,2410196.97900000,2410196.97900000
2020-08-23,1.72300000,1.72300000,1.77500000,1.77500000,1.64000000,1.64000000,1.70800000,1.70800000,3795808.71400000,3795808.71400000
2020-08-22,1.65000000,1.65000000,1.75000000,1.75000000,1.55500000,1.55500000,1.72100000,1.72100000,3455883.18300000,3455883.18300000
2020-08-21,1.71100000,1.71100000,1.92300000,1.92300000,1.65000000,1.65000000,1.65000000,1.65000000,7953128.57700000,7953128.57700000
2020-08-20,1.59300000,1.59300000,1.80900000,1.80900000,1.55300000,1.55300000,1.71000000,1.71000000,4551825.43800000,4551825.43800000
2020-08-19,1.67200000,1.67200000,1.72900000,1.72900000,1.48600000,1.48600000,1.59100000,1.59100000,3753759.38100000,3753759.38100000
2020-08-18,1.77400000,1.77400000,1.81500000,1.81500000,1.61700000,1.61700000,1.66900000,1.66900000,3396098.97100000,3396098.97100000
2020-08-17,1.87900000,1.87900000,1.94600000,1.94600000,1.74800000,1.74800000,1.77200000,1.77200000,4022826.70300000,4022826.70300000
2020-08-16,1.84000000,1.84000000,1.93800000,1.93800000,1.79600000,1.79600000,1.87700000,1.87700000,4026687.20300000,4026687.20300000
2020-08-15,1.87600000,1.87600000,1.99000000,1.99000000,1.78800000,1.78800000,1.84200000,1.84200000,5759406.06400000,5759406.06400000
2020-08-14,1.74500000,1.74500000,2.04800000,2.04800000,1.70200000,1.70200000,1.87600000,1.87600000,14752050.26700000,14752050.26700000
2020-08-13,1.68300000,1.68300000,1.99000000,1.99000000,1.59700000,1.59700000,1.74600000,1.74600000,12523068.10800000,12523068.10800000
2020-08-12,1.60800000,1.60800000,1.73000000,1.73000000,1.54400000,1.54400000,1.68300000,1.68300000,4641439.78600000,4641439.78600000
2020-08-11,1.71300000,1.71300000,1.72700000,1.72700000,1.50000000,1.50000000,1.61000000,1.61000000,4293244.41600000,4293244.41600000
2020-08-10,1.78600000,1.78600000,1.80500000,1.80500000,1.58700000,1.58700000,1.71500000,1.71500000,5192431.10100000,5192431.10100000
2020-08-09,1.68400000,1.68400000,1.82500000,1.82500000,1.62000000,1.62000000,1.78700000,1.78700000,5710652.84800000,5710652.84800000
2020-08-08,1.52600000,1.52600000,1.73700000,1.73700000,1.50900000,1.50900000,1.68200000,1.68200000,4493482.27000000,4493482.27000000
2020-08-07,1.60300000,1.60300000,1.63800000,1.63800000,1.43900000,1.43900000,1.52700000,1.52700000,4303250.56000000,4303250.56000000
2020-08-06,1.52500000,1.52500000,1.65700000,1.65700000,1.49700000,1.49700000,1.60300000,1.60300000,5633729.29400000,5633729.29400000
2020-08-05,1.48200000,1.48200000,1.60600000,1.60600000,1.48100000,1.48100000,1.52700000,1.52700000,8695977.99900000,8695977.99900000
2020-08-04,1.39000000,1.39000000,1.50000000,1.50000000,1.38000000,1.38000000,1.48200000,1.48200000,3651887.15400000,3651887.15400000
2020-08-03,1.41400000,1.41400000,1.44100000,1.44100000,1.37400000,1.37400000,1.39100000,1.39100000,3147962.01000000,3147962.01000000
2020-08-02,1.47800000,1.47800000,1.50600000,1.50600000,1.18400000,1.18400000,1.41100000,1.41100000,5347612.17200000,5347612.17200000
2020-08-01,1.46700000,1.46700000,1.53800000,1.53800000,1.44800000,1.44800000,1.48000000,1.48000000,4721256.53400000,4721256.53400000
2020-07-31,1.44400000,1.44400000,1.50500000,1.50500000,1.43200000,1.43200000,1.46700000,1.46700000,4698896.01800000,4698896.01800000
2020-07-30,1.41800000,1.41800000,1.51100000,1.51100000,1.40500000,1.40500000,1.44300000,1.44300000,4218514.36700000,4218514.36700000
2020-07-29,1.46300000,1.46300000,1.50400000,1.50400000,1.38800000,1.38800000,1.41900000,1.41900000,2993005.89500000,2993005.89500000
2020-07-28,1.37400000,1.37400000,1.51400000,1.51400000,1.36400000,1.36400000,1.46300000,1.46300000,3773179.86500000,3773179.86500000
2020-07-27,1.51200000,1.51200000,1.53600000,1.53600000,1.25700000,1.25700000,1.37500000,1.37500000,6218739.16700000,6218739.16700000
2020-07-26,1.53900000,1.53900000,1.59300000,1.59300000,1.43800000,1.43800000,1.51100000,1.51100000,4055829.94300000,4055829.94300000
