,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-08-30,0.78271000,0.78271000,0.81800000,0.81800000,0.76110000,0.76110000,0.79910000,0.79910000,19999871.50000000,19999871.50000000
2020-08-29,0.80743000,0.80743000,0.82456000,0.82456000,0.77238000,0.77238000,0.78215000,0.78215000,23381331.20000000,23381331.20000000
2020-08-28,0.76761000,0.76761000,0.84250000,0.84250000,0.74355000,0.74355000,0.80756000,0.80756000,41234384.40000000,41234384.40000000
2020-08-27,0.82100000,0.82100000,0.86717000,0.86717000,0.71800000,0.71800000,0.76918000,0.76918000,51944498.20000000,51944498.20000000
2020-08-26,0.77094000,0.77094000,0.89985000,0.89985000,0.72711000,0.72711000,0.82023000,0.82023000,99478286.20000000,99478286.20000000
2020-08-25,0.73109000,0.73109000,0.78219000,0.78219000,0.65000000,0.65000000,0.77094000,0.77094000,97610760.40000001,97610760.40000001
2020-08-24,0.56404000,0.56404000,0.74990000,0.74990000,0.56190000,0.56190000,0.73183000,0.73183000,70111394.40000001,70111394.40000001
2020-08-23,0.58233000,0.58233000,0.59200000,0.59200000,0.54258000,0.54258000,0.56512000,0.56512000,17756725.80000000,17756725.80000000
2020-08-22,0.54240000,0.54240000,0.59500000,0.59500000,0.50867000,0.50867000,0.58236000,0.58236000,22007664.70000000,22007664.70000000
2020-08-21,0.64689000,0.64689000,0.66500000,0.66500000,0.53671000,0.53671000,0.54226000,0.54226000,29653880.40000000,29653880.40000000
2020-08-20,0.54655000,0.54655000,0.66000000,0.66000000,0.54655000,0.54655000,0.64776000,0.64776000,28304898.90000000,28304898.90000000
2020-08-19,0.58343000,0.58343000,0.60877000,0.60877000,0.51500000,0.51500000,0.54655000,0.54655000,26250916.00000000,26250916.00000000
2020-08-18,0.58888000,0.58888000,0.62964000,0.62964000,0.55000000,0.55000000,0.58343000,0.58343000,29060383.00000000,29060383.00000000
2020-08-17,0.52939000,0.52939000,0.62175000,0.62175000,0.52803000,0.52803000,0.58888000,0.58888000,35332890.00000000,35332890.00000000
2020-08-16,0.47109000,0.47109000,0.55000000,0.55000000,0.45573000,0.45573000,0.52917000,0.52917000,38819543.80000000,38819543.80000000
