,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.21671000,0.21671000,0.21768000,0.21768000,0.21201000,0.21201000,0.21276000,0.21276000,846077.10000000,846077.10000000
2020-08-31,0.23625000,0.23625000,0.24383000,0.24383000,0.21127000,0.21127000,0.21671000,0.21671000,13106489.80000000,13106489.80000000
2020-08-30,0.20469000,0.20469000,0.24997000,0.24997000,0.20439000,0.20439000,0.23625000,0.23625000,17339777.40000000,17339777.40000000
2020-08-29,0.19402000,0.19402000,0.21579000,0.21579000,0.18962000,0.18962000,0.20528000,0.20528000,11699297.40000000,11699297.40000000
2020-08-28,0.18715000,0.18715000,0.20025000,0.20025000,0.18270000,0.18270000,0.19305000,0.19305000,4652079.90000000,4652079.90000000
2020-08-27,0.19466000,0.19466000,0.19870000,0.19870000,0.17700000,0.17700000,0.18711000,0.18711000,6802417.10000000,6802417.10000000
2020-08-26,0.19803000,0.19803000,0.20000000,0.20000000,0.18670000,0.18670000,0.19433000,0.19433000,8243132.80000000,8243132.80000000
2020-08-25,0.18962000,0.18962000,0.20350000,0.20350000,0.17478000,0.17478000,0.19802000,0.19802000,13102204.00000000,13102204.00000000
2020-08-24,0.19127000,0.19127000,0.19350000,0.19350000,0.18494000,0.18494000,0.18962000,0.18962000,6526326.30000000,6526326.30000000
2020-08-23,0.19669000,0.19669000,0.20920000,0.20920000,0.18707000,0.18707000,0.19127000,0.19127000,6803359.00000000,6803359.00000000
2020-08-22,0.17160000,0.17160000,0.19773000,0.19773000,0.16064000,0.16064000,0.19627000,0.19627000,9998576.10000000,9998576.10000000
2020-08-21,0.19291000,0.19291000,0.22988000,0.22988000,0.17028000,0.17028000,0.17160000,0.17160000,28807493.40000000,28807493.40000000
2020-08-20,0.16030000,0.16030000,0.19585000,0.19585000,0.15938000,0.15938000,0.19298000,0.19298000,9556774.10000000,9556774.10000000
2020-08-19,0.17454000,0.17454000,0.17888000,0.17888000,0.15800000,0.15800000,0.16029000,0.16029000,6566314.10000000,6566314.10000000
2020-08-18,0.17929000,0.17929000,0.18634000,0.18634000,0.16500000,0.16500000,0.17500000,0.17500000,9091397.10000000,9091397.10000000
2020-08-17,0.18768000,0.18768000,0.20568000,0.20568000,0.17865000,0.17865000,0.17883000,0.17883000,14197191.00000000,14197191.00000000
2020-08-16,0.17473000,0.17473000,0.19531000,0.19531000,0.17183000,0.17183000,0.18841000,0.18841000,15488404.60000000,15488404.60000000
2020-08-15,0.18986000,0.18986000,0.22379000,0.22379000,0.17266000,0.17266000,0.17473000,0.17473000,31207593.80000000,31207593.80000000
2020-08-14,0.15925000,0.15925000,0.19253000,0.19253000,0.15579000,0.15579000,0.18881000,0.18881000,17509419.80000000,17509419.80000000
2020-08-13,0.14552000,0.14552000,0.16600000,0.16600000,0.13328000,0.13328000,0.15924000,0.15924000,18135471.50000000,18135471.50000000
2020-08-12,0.13475000,0.13475000,0.14893000,0.14893000,0.12511000,0.12511000,0.14579000,0.14579000,9797591.60000000,9797591.60000000
2020-08-11,0.14557000,0.14557000,0.14629000,0.14629000,0.12822000,0.12822000,0.13387000,0.13387000,8066353.10000000,8066353.10000000
2020-08-10,0.14619000,0.14619000,0.14984000,0.14984000,0.13810000,0.13810000,0.14620000,0.14620000,10788751.10000000,10788751.10000000
2020-08-09,0.13501000,0.13501000,0.15210000,0.15210000,0.13291000,0.13291000,0.14619000,0.14619000,18175064.90000000,18175064.90000000
2020-08-08,0.12574000,0.12574000,0.13748000,0.13748000,0.12252000,0.12252000,0.13500000,0.13500000,6545350.30000000,6545350.30000000
2020-08-07,0.13147000,0.13147000,0.13443000,0.13443000,0.11922000,0.11922000,0.12574000,0.12574000,5717109.90000000,5717109.90000000
2020-08-06,0.13136000,0.13136000,0.13600000,0.13600000,0.12578000,0.12578000,0.13149000,0.13149000,5676801.30000000,5676801.30000000
2020-08-05,0.13350000,0.13350000,0.13400000,0.13400000,0.12528000,0.12528000,0.13024000,0.13024000,4679234.10000000,4679234.10000000
2020-08-04,0.12444000,0.12444000,0.13899000,0.13899000,0.12271000,0.12271000,0.13350000,0.13350000,11417444.60000000,11417444.60000000
