,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,1.78910000,1.78910000,1.80650000,1.80650000,1.74520000,1.74520000,1.79080000,1.79080000,103411.48000000,103411.48000000
2020-08-31,1.79390000,1.79390000,1.83120000,1.83120000,1.74000000,1.74000000,1.78220000,1.78220000,359746.64000000,359746.64000000
2020-08-30,1.85000000,1.85000000,1.87940000,1.87940000,1.76050000,1.76050000,1.79390000,1.79390000,400785.96000000,400785.96000000
2020-08-29,1.79140000,1.79140000,1.88990000,1.88990000,1.75490000,1.75490000,1.85130000,1.85130000,713605.58000000,713605.58000000
2020-08-28,1.64310000,1.64310000,1.80240000,1.80240000,1.61060000,1.61060000,1.78870000,1.78870000,401130.87000000,401130.87000000
2020-08-27,1.79600000,1.79600000,1.84890000,1.84890000,1.57020000,1.57020000,1.64200000,1.64200000,528381.88000000,528381.88000000
2020-08-26,1.71730000,1.71730000,1.82690000,1.82690000,1.51000000,1.51000000,1.79960000,1.79960000,493220.53000000,493220.53000000
2020-08-25,1.90610000,1.90610000,1.91400000,1.91400000,1.50000000,1.50000000,1.71460000,1.71460000,785143.98000000,785143.98000000
2020-08-24,1.86830000,1.86830000,1.95770000,1.95770000,1.80910000,1.80910000,1.90740000,1.90740000,469516.72000000,469516.72000000
2020-08-23,1.92290000,1.92290000,1.99000000,1.99000000,1.79720000,1.79720000,1.86830000,1.86830000,655952.38000000,655952.38000000
2020-08-22,1.82930000,1.82930000,1.99830000,1.99830000,1.70000000,1.70000000,1.92550000,1.92550000,967852.74000000,967852.74000000
2020-08-21,1.75530000,1.75530000,2.15000000,2.15000000,1.75000000,1.75000000,1.83890000,1.83890000,3753023.41000000,3753023.41000000
2020-08-20,1.58220000,1.58220000,1.76260000,1.76260000,1.52010000,1.52010000,1.75640000,1.75640000,870876.06000000,870876.06000000
2020-08-19,1.69550000,1.69550000,1.69970000,1.69970000,1.48570000,1.48570000,1.57880000,1.57880000,559328.34000000,559328.34000000
2020-08-18,1.78220000,1.78220000,1.81000000,1.81000000,1.62210000,1.62210000,1.70330000,1.70330000,887542.03000000,887542.03000000
2020-08-17,1.80780000,1.80780000,1.91400000,1.91400000,1.70590000,1.70590000,1.78950000,1.78950000,1044732.80000000,1044732.80000000
2020-08-16,1.68310000,1.68310000,1.84000000,1.84000000,1.62950000,1.62950000,1.80630000,1.80630000,619535.25000000,619535.25000000
2020-08-15,1.72190000,1.72190000,1.74940000,1.74940000,1.62770000,1.62770000,1.68160000,1.68160000,689812.00000000,689812.00000000
2020-08-14,1.67390000,1.67390000,1.84230000,1.84230000,1.64750000,1.64750000,1.72190000,1.72190000,1451758.77000000,1451758.77000000
2020-08-13,1.49210000,1.49210000,1.74560000,1.74560000,1.47790000,1.47790000,1.66870000,1.66870000,3039781.50000000,3039781.50000000
2020-08-12,1.44190000,1.44190000,1.50080000,1.50080000,1.37890000,1.37890000,1.48980000,1.48980000,539523.04000000,539523.04000000
2020-08-11,1.54380000,1.54380000,1.56830000,1.56830000,1.38000000,1.38000000,1.44040000,1.44040000,750010.86000000,750010.86000000
