,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.09852000,0.09852000,0.09893000,0.09893000,0.09628000,0.09628000,0.09750000,0.09750000,812784.00000000,812784.00000000
2020-08-31,0.10346000,0.10346000,0.10624000,0.10624000,0.09690000,0.09690000,0.09846000,0.09846000,10818737.00000000,10818737.00000000
2020-08-30,0.10941000,0.10941000,0.11194000,0.11194000,0.10169000,0.10169000,0.10348000,0.10348000,9883578.60000000,9883578.60000000
2020-08-29,0.10684000,0.10684000,0.12170000,0.12170000,0.10138000,0.10138000,0.10941000,0.10941000,37981212.30000000,37981212.30000000
2020-08-28,0.09446000,0.09446000,0.11390000,0.11390000,0.09121000,0.09121000,0.10632000,0.10632000,52442016.10000000,52442016.10000000
2020-08-27,0.08700000,0.08700000,0.09473000,0.09473000,0.08600000,0.08600000,0.09473000,0.09473000,19387648.10000000,19387648.10000000
2020-08-26,0.08573000,0.08573000,0.08716000,0.08716000,0.08379000,0.08379000,0.08700000,0.08700000,4642478.30000000,4642478.30000000
2020-08-25,0.09166000,0.09166000,0.09364000,0.09364000,0.08209000,0.08209000,0.08573000,0.08573000,5353220.20000000,5353220.20000000
2020-08-24,0.09233000,0.09233000,0.09665000,0.09665000,0.09065000,0.09065000,0.09199000,0.09199000,10238315.50000000,10238315.50000000
2020-08-23,0.09690000,0.09690000,0.09736000,0.09736000,0.08900000,0.08900000,0.09193000,0.09193000,10986132.50000000,10986132.50000000
2020-08-22,0.09430000,0.09430000,0.11500000,0.11500000,0.08578000,0.08578000,0.09690000,0.09690000,60642295.40000000,60642295.40000000
2020-08-21,0.09131000,0.09131000,0.09475000,0.09475000,0.08350000,0.08350000,0.09378000,0.09378000,15472080.60000000,15472080.60000000
2020-08-20,0.08291000,0.08291000,0.09132000,0.09132000,0.08001000,0.08001000,0.09131000,0.09131000,6378378.30000000,6378378.30000000
2020-08-19,0.09013000,0.09013000,0.09163000,0.09163000,0.08037000,0.08037000,0.08275000,0.08275000,9354251.10000000,9354251.10000000
2020-08-18,0.09580000,0.09580000,0.09625000,0.09625000,0.08615000,0.08615000,0.09022000,0.09022000,14059910.20000000,14059910.20000000
2020-08-17,0.09860000,0.09860000,0.09988000,0.09988000,0.09448000,0.09448000,0.09580000,0.09580000,13555096.70000000,13555096.70000000
2020-08-16,0.09888000,0.09888000,0.10028000,0.10028000,0.09400000,0.09400000,0.09860000,0.09860000,14696458.10000000,14696458.10000000
2020-08-15,0.09532000,0.09532000,0.10150000,0.10150000,0.09473000,0.09473000,0.09888000,0.09888000,18572581.50000000,18572581.50000000
2020-08-14,0.09232000,0.09232000,0.10350000,0.10350000,0.09036000,0.09036000,0.09529000,0.09529000,28493547.60000000,28493547.60000000
2020-08-13,0.09800000,0.09800000,0.10499000,0.10499000,0.09054000,0.09054000,0.09225000,0.09225000,27932826.50000000,27932826.50000000
2020-08-12,0.09057000,0.09057000,0.10158000,0.10158000,0.08509000,0.08509000,0.09839000,0.09839000,30789539.70000000,30789539.70000000
2020-08-11,0.10135000,0.10135000,0.10400000,0.10400000,0.08473000,0.08473000,0.09057000,0.09057000,33683534.30000000,33683534.30000000
2020-08-10,0.09971000,0.09971000,0.11224000,0.11224000,0.09228000,0.09228000,0.10139000,0.10139000,71520828.90000001,71520828.90000001
2020-08-09,0.10266000,0.10266000,0.13200000,0.13200000,0.09924000,0.09924000,0.09972000,0.09972000,137647520.19999999,137647520.19999999
2020-08-08,0.07498000,0.07498000,0.10469000,0.10469000,0.07259000,0.07259000,0.10281000,0.10281000,85765140.70000000,85765140.70000000
2020-08-07,0.05790000,0.05790000,0.07594000,0.07594000,0.05758000,0.05758000,0.07484000,0.07484000,51256029.90000000,51256029.90000000
2020-08-06,0.05363000,0.05363000,0.12000000,0.12000000,0.05363000,0.05363000,0.05822000,0.05822000,14196664.70000000,14196664.70000000
