,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,20.43900000,20.43900000,20.62600000,20.62600000,20.13200000,20.13200000,20.55700000,20.55700000,75394.18300000,75394.18300000
2020-08-31,20.65800000,20.65800000,21.57000000,21.57000000,20.21100000,20.21100000,20.44300000,20.44300000,1189764.70500000,1189764.70500000
2020-08-30,21.13500000,21.13500000,22.90000000,22.90000000,20.32300000,20.32300000,20.66200000,20.66200000,2135153.47300000,2135153.47300000
2020-08-29,18.29400000,18.29400000,21.95000000,21.95000000,17.96400000,17.96400000,21.14100000,21.14100000,2233868.47600000,2233868.47600000
2020-08-28,17.66600000,17.66600000,18.58700000,18.58700000,17.36500000,17.36500000,18.29400000,18.29400000,972130.79200000,972130.79200000
2020-08-27,17.32400000,17.32400000,18.20000000,18.20000000,16.42000000,16.42000000,17.64900000,17.64900000,1141649.07900000,1141649.07900000
2020-08-26,17.02300000,17.02300000,18.04000000,18.04000000,16.83700000,16.83700000,17.32200000,17.32200000,1003044.73600000,1003044.73600000
2020-08-25,18.06800000,18.06800000,18.26100000,18.26100000,16.13200000,16.13200000,17.02300000,17.02300000,1116590.64400000,1116590.64400000
2020-08-24,18.18700000,18.18700000,19.46700000,19.46700000,17.90000000,17.90000000,18.07400000,18.07400000,835648.51800000,835648.51800000
2020-08-23,18.93500000,18.93500000,19.75700000,19.75700000,17.71500000,17.71500000,18.17000000,18.17000000,1223037.34400000,1223037.34400000
2020-08-22,16.36800000,16.36800000,19.19100000,19.19100000,15.62300000,15.62300000,18.93600000,18.93600000,1969925.06900000,1969925.06900000
2020-08-21,17.84200000,17.84200000,19.85400000,19.85400000,16.36100000,16.36100000,16.38700000,16.38700000,2428489.23100000,2428489.23100000
2020-08-20,15.82500000,15.82500000,17.94900000,17.94900000,15.80700000,15.80700000,17.84200000,17.84200000,915874.78800000,915874.78800000
2020-08-19,16.11900000,16.11900000,17.08000000,17.08000000,15.46500000,15.46500000,15.83400000,15.83400000,987213.08500000,987213.08500000
2020-08-18,16.56000000,16.56000000,17.57800000,17.57800000,16.01000000,16.01000000,16.12000000,16.12000000,968575.52300000,968575.52300000
