,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,55.42000000,55.42000000,55.57000000,55.57000000,51.51400000,51.51400000,53.37300000,53.37300000,11903.64800000,11903.64800000
2020-08-31,51.32900000,51.32900000,59.59000000,59.59000000,49.83400000,49.83400000,55.24900000,55.24900000,56010.88900000,56010.88900000
2020-08-30,52.45000000,52.45000000,53.50000000,53.50000000,47.94700000,47.94700000,51.35500000,51.35500000,46303.34200000,46303.34200000
2020-08-29,54.69000000,54.69000000,55.95800000,55.95800000,51.00600000,51.00600000,52.45000000,52.45000000,40002.97000000,40002.97000000
2020-08-28,52.49700000,52.49700000,64.80000000,64.80000000,50.00000000,50.00000000,54.69000000,54.69000000,144901.11700000,144901.11700000
2020-08-27,43.70900000,43.70900000,67.50000000,67.50000000,38.69400000,38.69400000,52.43700000,52.43700000,77689.36400000,77689.36400000
2020-08-26,41.87800000,41.87800000,44.30700000,44.30700000,38.62200000,38.62200000,43.70800000,43.70800000,12766.28900000,12766.28900000
2020-08-25,44.72800000,44.72800000,45.15900000,45.15900000,40.10000000,40.10000000,42.23100000,42.23100000,13036.03600000,13036.03600000
2020-08-24,43.28300000,43.28300000,46.99900000,46.99900000,42.81500000,42.81500000,44.72900000,44.72900000,11956.42800000,11956.42800000
2020-08-23,48.04800000,48.04800000,48.05700000,48.05700000,42.82800000,42.82800000,43.59100000,43.59100000,17284.85500000,17284.85500000
2020-08-22,42.18100000,42.18100000,51.00000000,51.00000000,41.07200000,41.07200000,47.97800000,47.97800000,19932.14700000,19932.14700000
2020-08-21,46.95200000,46.95200000,52.10000000,52.10000000,41.35200000,41.35200000,41.89600000,41.89600000,47528.20400000,47528.20400000
2020-08-20,42.28100000,42.28100000,53.88000000,53.88000000,39.54200000,39.54200000,46.93000000,46.93000000,62972.51400000,62972.51400000
2020-08-19,50.42000000,50.42000000,50.42000000,50.42000000,37.77000000,37.77000000,42.07900000,42.07900000,11838.17200000,11838.17200000
