,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,21.75400000,21.75400000,21.79600000,21.79600000,21.42400000,21.42400000,21.43000000,21.43000000,1938.83300000,1938.83300000
2020-08-31,22.29900000,22.29900000,22.44900000,22.44900000,21.69800000,21.69800000,21.89100000,21.89100000,9016.42500000,9016.42500000
2020-08-30,22.50300000,22.50300000,22.68100000,22.68100000,20.94700000,20.94700000,22.36600000,22.36600000,20418.36700000,20418.36700000
2020-08-29,22.33900000,22.33900000,22.81800000,22.81800000,21.71200000,21.71200000,22.55600000,22.55600000,14879.28000000,14879.28000000
2020-08-28,21.30000000,21.30000000,22.60900000,22.60900000,20.95100000,20.95100000,22.32500000,22.32500000,15545.17400000,15545.17400000
2020-08-27,22.62600000,22.62600000,23.13800000,23.13800000,20.81000000,20.81000000,21.30000000,21.30000000,33275.97300000,33275.97300000
2020-08-26,21.63100000,21.63100000,23.45600000,23.45600000,21.00300000,21.00300000,22.50900000,22.50900000,31520.16500000,31520.16500000
2020-08-25,23.58800000,23.58800000,23.75800000,23.75800000,20.39500000,20.39500000,21.67800000,21.67800000,34858.61800000,34858.61800000
2020-08-24,23.66100000,23.66100000,24.33300000,24.33300000,20.96600000,20.96600000,23.60200000,23.60200000,60721.61800000,60721.61800000
2020-08-23,24.68500000,24.68500000,24.93300000,24.93300000,23.14200000,23.14200000,23.66200000,23.66200000,49564.60100000,49564.60100000
2020-08-22,27.54500000,27.54500000,30.00000000,30.00000000,22.77100000,22.77100000,24.58800000,24.58800000,326134.53300000,326134.53300000
2020-08-21,20.69300000,20.69300000,29.99000000,29.99000000,20.63000000,20.63000000,27.63700000,27.63700000,370712.53600000,370712.53600000
2020-08-20,19.89900000,19.89900000,21.10200000,21.10200000,19.43700000,19.43700000,20.56300000,20.56300000,19129.88000000,19129.88000000
2020-08-19,21.01100000,21.01100000,21.21400000,21.21400000,19.39700000,19.39700000,19.75000000,19.75000000,22340.52900000,22340.52900000
2020-08-18,21.87800000,21.87800000,22.14600000,22.14600000,20.17800000,20.17800000,20.95500000,20.95500000,28452.27900000,28452.27900000
2020-08-17,22.44700000,22.44700000,22.76700000,22.76700000,21.65300000,21.65300000,21.88200000,21.88200000,23347.62800000,23347.62800000
2020-08-16,22.43300000,22.43300000,22.76200000,22.76200000,21.50200000,21.50200000,22.50400000,22.50400000,24501.80000000,24501.80000000
2020-08-15,21.76500000,21.76500000,23.00000000,23.00000000,21.24900000,21.24900000,22.31000000,22.31000000,57734.61000000,57734.61000000
2020-08-14,20.92200000,20.92200000,22.00000000,22.00000000,20.70900000,20.70900000,21.84400000,21.84400000,46573.73500000,46573.73500000
2020-08-13,20.40200000,20.40200000,21.58000000,21.58000000,19.80500000,19.80500000,20.99900000,20.99900000,64735.50100000,64735.50100000
2020-08-12,20.39800000,20.39800000,20.52400000,20.52400000,19.64800000,19.64800000,20.52000000,20.52000000,34369.13100000,34369.13100000
2020-08-11,21.24300000,21.24300000,21.31100000,21.31100000,19.75500000,19.75500000,20.26300000,20.26300000,37664.52900000,37664.52900000
2020-08-10,22.02000000,22.02000000,22.24600000,22.24600000,20.50000000,20.50000000,21.11000000,21.11000000,67110.98500000,67110.98500000
2020-08-09,21.29100000,21.29100000,22.07000000,22.07000000,20.77000000,20.77000000,22.02000000,22.02000000,41749.59800000,41749.59800000
2020-08-08,20.72000000,20.72000000,21.29300000,21.29300000,20.67600000,20.67600000,21.27800000,21.27800000,16084.18700000,16084.18700000
2020-08-07,21.64600000,21.64600000,21.70000000,21.70000000,19.69400000,19.69400000,20.80900000,20.80900000,31673.67400000,31673.67400000
2020-08-06,20.90800000,20.90800000,21.67400000,21.67400000,20.40000000,20.40000000,21.64700000,21.64700000,46207.08400000,46207.08400000
2020-08-05,20.63100000,20.63100000,21.07100000,21.07100000,20.22900000,20.22900000,20.90800000,20.90800000,16256.65900000,16256.65900000
2020-08-04,20.44100000,20.44100000,21.80000000,21.80000000,20.30000000,20.30000000,20.67800000,20.67800000,47906.13200000,47906.13200000
2020-08-03,18.93200000,18.93200000,21.13500000,21.13500000,18.77300000,18.77300000,20.37400000,20.37400000,31347.47600000,31347.47600000
2020-08-02,20.60500000,20.60500000,21.07100000,21.07100000,4.80000000,4.80000000,18.94600000,18.94600000,38321.24100000,38321.24100000
2020-08-01,19.84700000,19.84700000,21.00000000,21.00000000,19.69800000,19.69800000,20.60000000,20.60000000,37176.59500000,37176.59500000
