,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,1.60110000,1.60110000,1.60990000,1.60990000,1.54410000,1.54410000,1.60060000,1.60060000,253601.55000000,253601.55000000
2020-08-31,1.62860000,1.62860000,1.71610000,1.71610000,1.58000000,1.58000000,1.60450000,1.60450000,1050365.15000000,1050365.15000000
2020-08-30,1.56670000,1.56670000,1.68000000,1.68000000,1.52320000,1.52320000,1.62540000,1.62540000,1234316.06000000,1234316.06000000
2020-08-29,1.47150000,1.47150000,1.59160000,1.59160000,1.46120000,1.46120000,1.57090000,1.57090000,1051518.51000000,1051518.51000000
2020-08-28,1.45620000,1.45620000,1.51610000,1.51610000,1.42280000,1.42280000,1.47000000,1.47000000,858061.86000000,858061.86000000
2020-08-27,1.58620000,1.58620000,1.65340000,1.65340000,1.36260000,1.36260000,1.45730000,1.45730000,1923842.69000000,1923842.69000000
2020-08-26,1.47970000,1.47970000,1.63090000,1.63090000,1.45000000,1.45000000,1.58620000,1.58620000,2034656.14000000,2034656.14000000
2020-08-25,1.61400000,1.61400000,1.79060000,1.79060000,1.46580000,1.46580000,1.47990000,1.47990000,2760932.82000000,2760932.82000000
2020-08-24,1.56040000,1.56040000,1.67000000,1.67000000,1.51130000,1.51130000,1.61560000,1.61560000,1076834.69000000,1076834.69000000
2020-08-23,1.51600000,1.51600000,1.59970000,1.59970000,1.41000000,1.41000000,1.56290000,1.56290000,1764188.82000000,1764188.82000000
2020-08-22,1.41310000,1.41310000,1.52910000,1.52910000,1.34530000,1.34530000,1.51730000,1.51730000,1769602.59000000,1769602.59000000
2020-08-21,1.68770000,1.68770000,1.75000000,1.75000000,1.40170000,1.40170000,1.40740000,1.40740000,2753249.12000000,2753249.12000000
2020-08-20,1.49460000,1.49460000,1.69000000,1.69000000,1.49460000,1.49460000,1.68770000,1.68770000,1819803.56000000,1819803.56000000
2020-08-19,1.56800000,1.56800000,1.63230000,1.63230000,1.38700000,1.38700000,1.49460000,1.49460000,2715982.96000000,2715982.96000000
2020-08-18,1.69660000,1.69660000,1.77690000,1.77690000,1.51330000,1.51330000,1.56800000,1.56800000,2894124.97000000,2894124.97000000
2020-08-17,1.86940000,1.86940000,1.90960000,1.90960000,1.67500000,1.67500000,1.69630000,1.69630000,2197332.54000000,2197332.54000000
2020-08-16,1.84980000,1.84980000,1.92200000,1.92200000,1.72280000,1.72280000,1.87100000,1.87100000,3543086.00000000,3543086.00000000
2020-08-15,1.84460000,1.84460000,2.07000000,2.07000000,1.81890000,1.81890000,1.85470000,1.85470000,1954502.13000000,1954502.13000000
2020-08-14,1.88100000,1.88100000,1.96200000,1.96200000,1.80000000,1.80000000,1.84320000,1.84320000,1816804.39000000,1816804.39000000
2020-08-13,1.77850000,1.77850000,2.19000000,2.19000000,1.77110000,1.77110000,1.88090000,1.88090000,5866073.56000000,5866073.56000000
2020-08-12,1.46520000,1.46520000,1.88880000,1.88880000,1.43260000,1.43260000,1.78370000,1.78370000,5063833.79000000,5063833.79000000
2020-08-11,1.59740000,1.59740000,1.63540000,1.63540000,1.35000000,1.35000000,1.46790000,1.46790000,4106693.86000000,4106693.86000000
2020-08-10,1.71680000,1.71680000,1.76920000,1.76920000,1.48360000,1.48360000,1.59740000,1.59740000,4737156.58000000,4737156.58000000
2020-08-09,1.52000000,1.52000000,1.78440000,1.78440000,1.46520000,1.46520000,1.71410000,1.71410000,4520853.00000000,4520853.00000000
2020-08-08,1.29190000,1.29190000,1.58030000,1.58030000,1.27730000,1.27730000,1.51940000,1.51940000,4417137.54000000,4417137.54000000
2020-08-07,1.36180000,1.36180000,1.36180000,1.36180000,1.21110000,1.21110000,1.29150000,1.29150000,2405592.38000000,2405592.38000000
2020-08-06,1.16840000,1.16840000,1.39990000,1.39990000,1.16560000,1.16560000,1.36180000,1.36180000,3800470.99000000,3800470.99000000
2020-08-05,1.21020000,1.21020000,1.26650000,1.26650000,1.13090000,1.13090000,1.17160000,1.17160000,2462552.86000000,2462552.86000000
2020-08-04,1.07160000,1.07160000,1.23990000,1.23990000,1.06520000,1.06520000,1.21330000,1.21330000,3459647.57000000,3459647.57000000
2020-08-03,1.08900000,1.08900000,1.12890000,1.12890000,1.05210000,1.05210000,1.07100000,1.07100000,1718136.37000000,1718136.37000000
2020-08-02,1.13950000,1.13950000,1.14900000,1.14900000,0.89900000,0.89900000,1.08900000,1.08900000,3579291.07000000,3579291.07000000
2020-08-01,1.17680000,1.17680000,1.22000000,1.22000000,1.12000000,1.12000000,1.14040000,1.14040000,1772705.03000000,1772705.03000000
2020-07-31,1.17400000,1.17400000,1.24990000,1.24990000,1.11780000,1.11780000,1.18140000,1.18140000,2489103.02000000,2489103.02000000
2020-07-30,1.09920000,1.09920000,1.29890000,1.29890000,1.08660000,1.08660000,1.17410000,1.17410000,2593553.70000000,2593553.70000000
2020-07-29,1.17550000,1.17550000,1.23940000,1.23940000,1.07050000,1.07050000,1.09510000,1.09510000,1559153.43000000,1559153.43000000
2020-07-28,0.99320000,0.99320000,1.21980000,1.21980000,0.97340000,0.97340000,1.17550000,1.17550000,2804510.89000000,2804510.89000000
2020-07-27,1.16730000,1.16730000,1.17090000,1.17090000,0.94900000,0.94900000,1.00290000,1.00290000,2781915.99000000,2781915.99000000
2020-07-26,1.15350000,1.15350000,1.24650000,1.24650000,1.05010000,1.05010000,1.16730000,1.16730000,1815977.47000000,1815977.47000000
2020-07-25,1.12340000,1.12340000,1.31500000,1.31500000,1.11420000,1.11420000,1.15330000,1.15330000,3407472.13000000,3407472.13000000
2020-07-24,1.23850000,1.23850000,1.31000000,1.31000000,1.10000000,1.10000000,1.12450000,1.12450000,2227951.73000000,2227951.73000000
2020-07-23,1.28010000,1.28010000,1.31910000,1.31910000,1.22010000,1.22010000,1.23900000,1.23900000,2408185.60000000,2408185.60000000
2020-07-22,1.48010000,1.48010000,1.57200000,1.57200000,1.20370000,1.20370000,1.27930000,1.27930000,3726223.72000000,3726223.72000000
2020-07-21,1.36720000,1.36720000,1.55490000,1.55490000,1.31290000,1.31290000,1.48010000,1.48010000,2564695.75000000,2564695.75000000
2020-07-20,1.52300000,1.52300000,1.79460000,1.79460000,1.35070000,1.35070000,1.36390000,1.36390000,2570268.84000000,2570268.84000000
2020-07-19,1.75330000,1.75330000,1.75360000,1.75360000,1.47040000,1.47040000,1.52310000,1.52310000,2341119.33000000,2341119.33000000
