,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.60330000,0.60330000,0.61250000,0.61250000,0.56320000,0.56320000,0.57990000,0.57990000,1606267.73000000,1606267.73000000
2020-08-31,0.64640000,0.64640000,0.69980000,0.69980000,0.58070000,0.58070000,0.60330000,0.60330000,5392076.93000000,5392076.93000000
2020-08-30,0.68500000,0.68500000,0.69800000,0.69800000,0.62200000,0.62200000,0.64740000,0.64740000,9304968.55000000,9304968.55000000
2020-08-29,0.58130000,0.58130000,0.78760000,0.78760000,0.57480000,0.57480000,0.68490000,0.68490000,31960236.01000000,31960236.01000000
2020-08-28,0.44610000,0.44610000,0.59000000,0.59000000,0.44610000,0.44610000,0.58140000,0.58140000,12094922.40000000,12094922.40000000
2020-08-27,0.47110000,0.47110000,0.52950000,0.52950000,0.41620000,0.41620000,0.44800000,0.44800000,14756661.59000000,14756661.59000000
2020-08-26,0.34750000,0.34750000,0.50050000,0.50050000,0.33050000,0.33050000,0.47320000,0.47320000,9463616.28000000,9463616.28000000
2020-08-25,0.38310000,0.38310000,0.39560000,0.39560000,0.32410000,0.32410000,0.34750000,0.34750000,4466312.16000000,4466312.16000000
2020-08-24,0.39590000,0.39590000,0.46830000,0.46830000,0.36020000,0.36020000,0.38310000,0.38310000,13127141.44000000,13127141.44000000
2020-08-23,0.28180000,0.28180000,0.49360000,0.49360000,0.27940000,0.27940000,0.39530000,0.39530000,15172068.04000000,15172068.04000000
2020-08-22,0.26260000,0.26260000,0.28990000,0.28990000,0.25000000,0.25000000,0.28190000,0.28190000,747054.65000000,747054.65000000
2020-08-21,0.28960000,0.28960000,0.29700000,0.29700000,0.25160000,0.25160000,0.26260000,0.26260000,1313870.09000000,1313870.09000000
2020-08-20,0.25640000,0.25640000,0.28940000,0.28940000,0.25430000,0.25430000,0.28920000,0.28920000,603971.74000000,603971.74000000
2020-08-19,0.28120000,0.28120000,0.28320000,0.28320000,0.25130000,0.25130000,0.25520000,0.25520000,1205687.44000000,1205687.44000000
2020-08-18,0.29770000,0.29770000,0.30420000,0.30420000,0.26100000,0.26100000,0.28250000,0.28250000,1676385.99000000,1676385.99000000
2020-08-17,0.32860000,0.32860000,0.33550000,0.33550000,0.29000000,0.29000000,0.29810000,0.29810000,1514379.09000000,1514379.09000000
2020-08-16,0.27370000,0.27370000,0.32870000,0.32870000,0.27050000,0.27050000,0.32870000,0.32870000,1982122.46000000,1982122.46000000
2020-08-15,0.29690000,0.29690000,0.30000000,0.30000000,0.27000000,0.27000000,0.27510000,0.27510000,1896716.61000000,1896716.61000000
2020-08-14,0.27120000,0.27120000,0.31000000,0.31000000,0.25800000,0.25800000,0.29690000,0.29690000,4287858.44000000,4287858.44000000
2020-08-13,0.22400000,0.22400000,0.36780000,0.36780000,0.22000000,0.22000000,0.27340000,0.27340000,5587964.11000000,5587964.11000000
2020-08-12,0.20480000,0.20480000,0.22950000,0.22950000,0.19250000,0.19250000,0.22440000,0.22440000,1294165.05000000,1294165.05000000
2020-08-11,0.22240000,0.22240000,0.23460000,0.23460000,0.19660000,0.19660000,0.20300000,0.20300000,1917301.61000000,1917301.61000000
2020-08-10,0.20960000,0.20960000,0.23000000,0.23000000,0.19860000,0.19860000,0.22420000,0.22420000,1973321.65000000,1973321.65000000
2020-08-09,0.20250000,0.20250000,0.21000000,0.21000000,0.19640000,0.19640000,0.20870000,0.20870000,1009769.94000000,1009769.94000000
2020-08-08,0.19370000,0.19370000,0.20450000,0.20450000,0.19240000,0.19240000,0.20250000,0.20250000,1321963.68000000,1321963.68000000
2020-08-07,0.19760000,0.19760000,0.20500000,0.20500000,0.18350000,0.18350000,0.19500000,0.19500000,751138.99000000,751138.99000000
2020-08-06,0.19740000,0.19740000,0.20240000,0.20240000,0.19420000,0.19420000,0.19760000,0.19760000,679608.80000000,679608.80000000
2020-08-05,0.19020000,0.19020000,0.20060000,0.20060000,0.18860000,0.18860000,0.19740000,0.19740000,1279680.69000000,1279680.69000000
2020-08-04,0.18820000,0.18820000,0.19520000,0.19520000,0.18470000,0.18470000,0.18990000,0.18990000,428413.89000000,428413.89000000
2020-08-03,0.18640000,0.18640000,0.20000000,0.20000000,0.18410000,0.18410000,0.18710000,0.18710000,668011.34000000,668011.34000000
2020-08-02,0.18630000,0.18630000,0.19780000,0.19780000,0.17000000,0.17000000,0.18780000,0.18780000,941067.81000000,941067.81000000
2020-08-01,0.18570000,0.18570000,0.19160000,0.19160000,0.15000000,0.15000000,0.18720000,0.18720000,814644.73000000,814644.73000000
2020-07-31,0.19240000,0.19240000,0.19720000,0.19720000,0.16470000,0.16470000,0.18590000,0.18590000,428205.95000000,428205.95000000
2020-07-30,0.18230000,0.18230000,0.21430000,0.21430000,0.16890000,0.16890000,0.19320000,0.19320000,1363261.74000000,1363261.74000000
