,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.59590000,0.59590000,0.59740000,0.59740000,0.59120000,0.59120000,0.59420000,0.59420000,32533.12000000,32533.12000000
2020-08-31,0.62060000,0.62060000,0.63010000,0.63010000,0.59520000,0.59520000,0.59570000,0.59570000,752798.25000000,752798.25000000
2020-08-30,0.61940000,0.61940000,0.63480000,0.63480000,0.61150000,0.61150000,0.61890000,0.61890000,456928.08000000,456928.08000000
2020-08-29,0.61010000,0.61010000,0.62980000,0.62980000,0.60460000,0.60460000,0.62340000,0.62340000,382822.50000000,382822.50000000
2020-08-28,0.59210000,0.59210000,0.61880000,0.61880000,0.58170000,0.58170000,0.61280000,0.61280000,478660.11000000,478660.11000000
2020-08-27,0.65700000,0.65700000,0.65700000,0.65700000,0.57570000,0.57570000,0.59210000,0.59210000,1186317.30000000,1186317.30000000
2020-08-26,0.68000000,0.68000000,0.68110000,0.68110000,0.62930000,0.62930000,0.65360000,0.65360000,1222752.19000000,1222752.19000000
2020-08-25,0.69100000,0.69100000,0.74450000,0.74450000,0.65010000,0.65010000,0.67620000,0.67620000,2435764.28000000,2435764.28000000
2020-08-24,0.66950000,0.66950000,0.71650000,0.71650000,0.64920000,0.64920000,0.69270000,0.69270000,1161561.27000000,1161561.27000000
2020-08-23,0.68100000,0.68100000,0.68950000,0.68950000,0.65050000,0.65050000,0.66690000,0.66690000,920632.99000000,920632.99000000
2020-08-22,0.63880000,0.63880000,0.72130000,0.72130000,0.59260000,0.59260000,0.68140000,0.68140000,2944479.58000000,2944479.58000000
2020-08-21,0.59880000,0.59880000,0.76790000,0.76790000,0.59000000,0.59000000,0.63880000,0.63880000,5214826.93000000,5214826.93000000
2020-08-20,0.56870000,0.56870000,0.60310000,0.60310000,0.55110000,0.55110000,0.59870000,0.59870000,546607.67000000,546607.67000000
2020-08-19,0.60620000,0.60620000,0.60670000,0.60670000,0.54550000,0.54550000,0.56610000,0.56610000,765573.39000000,765573.39000000
2020-08-18,0.61880000,0.61880000,0.62830000,0.62830000,0.58020000,0.58020000,0.60370000,0.60370000,634699.63000000,634699.63000000
2020-08-17,0.62830000,0.62830000,0.64000000,0.64000000,0.59060000,0.59060000,0.61820000,0.61820000,1221191.54000000,1221191.54000000
2020-08-16,0.62040000,0.62040000,0.63620000,0.63620000,0.60180000,0.60180000,0.63130000,0.63130000,835746.86000000,835746.86000000
2020-08-15,0.63990000,0.63990000,0.64020000,0.64020000,0.61200000,0.61200000,0.61730000,0.61730000,512057.79000000,512057.79000000
2020-08-14,0.63060000,0.63060000,0.66620000,0.66620000,0.62000000,0.62000000,0.63980000,0.63980000,1224350.59000000,1224350.59000000
2020-08-13,0.63430000,0.63430000,0.66660000,0.66660000,0.59940000,0.59940000,0.63030000,0.63030000,2174112.43000000,2174112.43000000
2020-08-12,0.61100000,0.61100000,0.64500000,0.64500000,0.58700000,0.58700000,0.63300000,0.63300000,1500142.19000000,1500142.19000000
