,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.38320000,0.38320000,0.49850000,0.49850000,0.37690000,0.37690000,0.48830000,0.48830000,5399554.99000000,5399554.99000000
2020-08-31,0.39820000,0.39820000,0.39820000,0.39820000,0.37650000,0.37650000,0.38310000,0.38310000,814974.01000000,814974.01000000
2020-08-30,0.39330000,0.39330000,0.39930000,0.39930000,0.36980000,0.36980000,0.39670000,0.39670000,1350935.63000000,1350935.63000000
2020-08-29,0.37090000,0.37090000,0.41400000,0.41400000,0.37000000,0.37000000,0.39310000,0.39310000,1000946.79000000,1000946.79000000
2020-08-28,0.35500000,0.35500000,0.38870000,0.38870000,0.34900000,0.34900000,0.37100000,0.37100000,1334499.19000000,1334499.19000000
2020-08-27,0.38690000,0.38690000,0.39350000,0.39350000,0.33500000,0.33500000,0.35490000,0.35490000,2763344.95000000,2763344.95000000
2020-08-26,0.39760000,0.39760000,0.41690000,0.41690000,0.38580000,0.38580000,0.38830000,0.38830000,1260904.01000000,1260904.01000000
2020-08-25,0.44200000,0.44200000,0.44670000,0.44670000,0.37740000,0.37740000,0.39770000,0.39770000,1600674.58000000,1600674.58000000
2020-08-24,0.44220000,0.44220000,0.45570000,0.45570000,0.43100000,0.43100000,0.44190000,0.44190000,1175415.39000000,1175415.39000000
2020-08-23,0.46400000,0.46400000,0.46640000,0.46640000,0.43030000,0.43030000,0.44210000,0.44210000,1640667.05000000,1640667.05000000
2020-08-22,0.42950000,0.42950000,0.49500000,0.49500000,0.39800000,0.39800000,0.46550000,0.46550000,2345434.00000000,2345434.00000000
2020-08-21,0.43510000,0.43510000,0.49400000,0.49400000,0.42230000,0.42230000,0.42920000,0.42920000,3624049.89000000,3624049.89000000
2020-08-20,0.37820000,0.37820000,0.44090000,0.44090000,0.37620000,0.37620000,0.43660000,0.43660000,1493168.28000000,1493168.28000000
2020-08-19,0.40410000,0.40410000,0.40810000,0.40810000,0.36000000,0.36000000,0.37820000,0.37820000,1510785.42000000,1510785.42000000
2020-08-18,0.42370000,0.42370000,0.44910000,0.44910000,0.30120000,0.30120000,0.40410000,0.40410000,2317265.96000000,2317265.96000000
2020-08-17,0.43350000,0.43350000,0.46800000,0.46800000,0.40600000,0.40600000,0.42110000,0.42110000,2328420.68000000,2328420.68000000
2020-08-16,0.41090000,0.41090000,0.49000000,0.49000000,0.39090000,0.39090000,0.43200000,0.43200000,1891271.41000000,1891271.41000000
2020-08-15,0.42140000,0.42140000,0.44680000,0.44680000,0.38840000,0.38840000,0.40970000,0.40970000,1916684.23000000,1916684.23000000
2020-08-14,0.37400000,0.37400000,0.43950000,0.43950000,0.37000000,0.37000000,0.42060000,0.42060000,2830406.24000000,2830406.24000000
2020-08-13,0.40820000,0.40820000,0.41210000,0.41210000,0.36210000,0.36210000,0.37280000,0.37280000,3457536.50000000,3457536.50000000
2020-08-12,0.36940000,0.36940000,0.43250000,0.43250000,0.36310000,0.36310000,0.40840000,0.40840000,3946956.64000000,3946956.64000000
2020-08-11,0.38050000,0.38050000,0.38520000,0.38520000,0.33170000,0.33170000,0.36950000,0.36950000,3691742.62000000,3691742.62000000
2020-08-10,0.32320000,0.32320000,0.41000000,0.41000000,0.31120000,0.31120000,0.37870000,0.37870000,7535224.56000000,7535224.56000000
2020-08-09,0.30240000,0.30240000,0.32600000,0.32600000,0.28810000,0.28810000,0.32320000,0.32320000,1759553.92000000,1759553.92000000
2020-08-08,0.28740000,0.28740000,0.30500000,0.30500000,0.28530000,0.28530000,0.30230000,0.30230000,1012377.96000000,1012377.96000000
2020-08-07,0.29560000,0.29560000,0.30110000,0.30110000,0.27380000,0.27380000,0.28880000,0.28880000,1375816.89000000,1375816.89000000
2020-08-06,0.26120000,0.26120000,0.30590000,0.30590000,0.26010000,0.26010000,0.29440000,0.29440000,2410796.53000000,2410796.53000000
2020-08-05,0.27200000,0.27200000,0.27330000,0.27330000,0.25300000,0.25300000,0.26070000,0.26070000,1575976.26000000,1575976.26000000
2020-08-04,0.26650000,0.26650000,0.27450000,0.27450000,0.26170000,0.26170000,0.27190000,0.27190000,888218.28000000,888218.28000000
2020-08-03,0.26820000,0.26820000,0.27660000,0.27660000,0.26180000,0.26180000,0.26560000,0.26560000,654735.77000000,654735.77000000
2020-08-02,0.26450000,0.26450000,0.28000000,0.28000000,0.24000000,0.24000000,0.26740000,0.26740000,1537139.82000000,1537139.82000000
2020-08-01,0.26320000,0.26320000,0.27040000,0.27040000,0.26020000,0.26020000,0.26460000,0.26460000,957855.87000000,957855.87000000
2020-07-31,0.26890000,0.26890000,0.26910000,0.26910000,0.25540000,0.25540000,0.26210000,0.26210000,1012835.64000000,1012835.64000000
2020-07-30,0.26050000,0.26050000,0.27900000,0.27900000,0.25760000,0.25760000,0.26890000,0.26890000,1211556.71000000,1211556.71000000
2020-07-29,0.26620000,0.26620000,0.28800000,0.28800000,0.25560000,0.25560000,0.26060000,0.26060000,1851015.70000000,1851015.70000000
2020-07-28,0.25610000,0.25610000,0.27810000,0.27810000,0.25280000,0.25280000,0.26560000,0.26560000,1694517.97000000,1694517.97000000
2020-07-27,0.28520000,0.28520000,0.28730000,0.28730000,0.23000000,0.23000000,0.25850000,0.25850000,3744199.85000000,3744199.85000000
2020-07-26,0.29520000,0.29520000,0.30800000,0.30800000,0.27350000,0.27350000,0.28520000,0.28520000,2419598.94000000,2419598.94000000
2020-07-25,0.31550000,0.31550000,0.33100000,0.33100000,0.28680000,0.28680000,0.29520000,0.29520000,3787668.86000000,3787668.86000000
2020-07-24,0.28430000,0.28430000,0.32500000,0.32500000,0.27020000,0.27020000,0.31550000,0.31550000,3642435.93000000,3642435.93000000
2020-07-23,0.26900000,0.26900000,0.29000000,0.29000000,0.26780000,0.26780000,0.28430000,0.28430000,1683997.88000000,1683997.88000000
2020-07-22,0.26240000,0.26240000,0.28650000,0.28650000,0.26040000,0.26040000,0.26780000,0.26780000,1662200.99000000,1662200.99000000
2020-07-21,0.27500000,0.27500000,0.28640000,0.28640000,0.25310000,0.25310000,0.26240000,0.26240000,1670414.35000000,1670414.35000000
2020-07-20,0.24430000,0.24430000,0.28750000,0.28750000,0.24020000,0.24020000,0.27480000,0.27480000,3387145.54000000,3387145.54000000
2020-07-19,0.24660000,0.24660000,0.24760000,0.24760000,0.23220000,0.23220000,0.24410000,0.24410000,1623551.90000000,1623551.90000000
2020-07-18,0.24720000,0.24720000,0.25570000,0.25570000,0.24070000,0.24070000,0.24770000,0.24770000,2777097.81000000,2777097.81000000
2020-07-17,0.21880000,0.21880000,0.25030000,0.25030000,0.21390000,0.21390000,0.24710000,0.24710000,3666705.36000000,3666705.36000000
2020-07-16,0.22480000,0.22480000,0.22660000,0.22660000,0.20770000,0.20770000,0.21860000,0.21860000,1370477.84000000,1370477.84000000
2020-07-15,0.23340000,0.23340000,0.23740000,0.23740000,0.22340000,0.22340000,0.22580000,0.22580000,943927.15000000,943927.15000000
2020-07-14,0.23140000,0.23140000,0.24310000,0.24310000,0.22620000,0.22620000,0.23270000,0.23270000,1797700.57000000,1797700.57000000
2020-07-13,0.21970000,0.21970000,0.23900000,0.23900000,0.21860000,0.21860000,0.23150000,0.23150000,1646541.17000000,1646541.17000000
2020-07-12,0.22090000,0.22090000,0.23330000,0.23330000,0.21750000,0.21750000,0.21990000,0.21990000,1184335.20000000,1184335.20000000
2020-07-11,0.22610000,0.22610000,0.22990000,0.22990000,0.21900000,0.21900000,0.22090000,0.22090000,794841.19000000,794841.19000000
2020-07-10,0.22320000,0.22320000,0.22880000,0.22880000,0.21200000,0.21200000,0.22520000,0.22520000,817198.07000000,817198.07000000
2020-07-09,0.22080000,0.22080000,0.24000000,0.24000000,0.21750000,0.21750000,0.22320000,0.22320000,1888067.36000000,1888067.36000000
2020-07-08,0.21660000,0.21660000,0.22780000,0.22780000,0.21500000,0.21500000,0.22080000,0.22080000,1372861.16000000,1372861.16000000
2020-07-07,0.20970000,0.20970000,0.22010000,0.22010000,0.20670000,0.20670000,0.21750000,0.21750000,948512.93000000,948512.93000000
2020-07-06,0.20070000,0.20070000,0.21400000,0.21400000,0.20000000,0.20000000,0.20980000,0.20980000,1056648.61000000,1056648.61000000
2020-07-05,0.20970000,0.20970000,0.20990000,0.20990000,0.19600000,0.19600000,0.20140000,0.20140000,566674.93000000,566674.93000000
2020-07-04,0.20780000,0.20780000,0.21140000,0.21140000,0.20390000,0.20390000,0.20970000,0.20970000,633554.93000000,633554.93000000
2020-07-03,0.20620000,0.20620000,0.22000000,0.22000000,0.20510000,0.20510000,0.20780000,0.20780000,1548259.47000000,1548259.47000000
2020-07-02,0.19960000,0.19960000,0.24260000,0.24260000,0.19340000,0.19340000,0.20610000,0.20610000,1966592.51000000,1966592.51000000
2020-07-01,0.19570000,0.19570000,0.20200000,0.20200000,0.19350000,0.19350000,0.19960000,0.19960000,280451.56000000,280451.56000000
2020-06-30,0.19760000,0.19760000,0.19920000,0.19920000,0.19380000,0.19380000,0.19630000,0.19630000,354370.76000000,354370.76000000
2020-06-29,0.20340000,0.20340000,0.20900000,0.20900000,0.16750000,0.16750000,0.19760000,0.19760000,720667.60000000,720667.60000000
2020-06-28,0.19150000,0.19150000,0.20870000,0.20870000,0.18710000,0.18710000,0.20330000,0.20330000,759538.00000000,759538.00000000
2020-06-27,0.20930000,0.20930000,0.21110000,0.21110000,0.18200000,0.18200000,0.19150000,0.19150000,1409563.31000000,1409563.31000000
2020-06-26,0.22240000,0.22240000,0.22660000,0.22660000,0.20930000,0.20930000,0.20980000,0.20980000,1067514.74000000,1067514.74000000
2020-06-25,0.23280000,0.23280000,0.23280000,0.23280000,0.21960000,0.21960000,0.22190000,0.22190000,1055225.72000000,1055225.72000000
2020-06-24,0.24630000,0.24630000,0.25110000,0.25110000,0.22500000,0.22500000,0.23290000,0.23290000,1320554.06000000,1320554.06000000
2020-06-23,0.25690000,0.25690000,0.26230000,0.26230000,0.24000000,0.24000000,0.24640000,0.24640000,971651.68000000,971651.68000000
2020-06-22,0.24310000,0.24310000,0.26700000,0.26700000,0.24090000,0.24090000,0.25690000,0.25690000,2154546.81000000,2154546.81000000
2020-06-21,0.23150000,0.23150000,0.24980000,0.24980000,0.23040000,0.23040000,0.24310000,0.24310000,1194044.95000000,1194044.95000000
2020-06-20,0.22590000,0.22590000,0.23500000,0.23500000,0.22100000,0.22100000,0.23150000,0.23150000,783804.03000000,783804.03000000
2020-06-19,0.24600000,0.24600000,0.24890000,0.24890000,0.22350000,0.22350000,0.22590000,0.22590000,1431132.38000000,1431132.38000000
2020-06-18,0.22860000,0.22860000,0.25120000,0.25120000,0.22720000,0.22720000,0.24610000,0.24610000,1969963.13000000,1969963.13000000
2020-06-17,0.22870000,0.22870000,0.23450000,0.23450000,0.22090000,0.22090000,0.22930000,0.22930000,582829.41000000,582829.41000000
2020-06-16,0.23370000,0.23370000,0.24220000,0.24220000,0.22770000,0.22770000,0.22880000,0.22880000,1081649.19000000,1081649.19000000
2020-06-15,0.23930000,0.23930000,0.23970000,0.23970000,0.20530000,0.20530000,0.23350000,0.23350000,2378932.73000000,2378932.73000000
2020-06-14,0.23910000,0.23910000,0.26700000,0.26700000,0.23340000,0.23340000,0.23930000,0.23930000,2493440.53000000,2493440.53000000
2020-06-13,0.23170000,0.23170000,0.25010000,0.25010000,0.22790000,0.22790000,0.23910000,0.23910000,2629042.12000000,2629042.12000000
2020-06-12,0.19520000,0.19520000,0.24500000,0.24500000,0.19120000,0.19120000,0.23180000,0.23180000,4467455.00000000,4467455.00000000
2020-06-11,0.22130000,0.22130000,0.22260000,0.22260000,0.18860000,0.18860000,0.19630000,0.19630000,1221220.83000000,1221220.83000000
2020-06-10,0.21510000,0.21510000,0.22330000,0.22330000,0.21150000,0.21150000,0.22160000,0.22160000,963132.72000000,963132.72000000
2020-06-09,0.21670000,0.21670000,0.22430000,0.22430000,0.20430000,0.20430000,0.21540000,0.21540000,918270.19000000,918270.19000000
2020-06-08,0.20770000,0.20770000,0.23000000,0.23000000,0.20510000,0.20510000,0.21580000,0.21580000,1786315.22000000,1786315.22000000
2020-06-07,0.20790000,0.20790000,0.21060000,0.21060000,0.19850000,0.19850000,0.20760000,0.20760000,646366.97000000,646366.97000000
2020-06-06,0.20000000,0.20000000,0.20860000,0.20860000,0.19910000,0.19910000,0.20740000,0.20740000,512328.17000000,512328.17000000
2020-06-05,0.20430000,0.20430000,0.21150000,0.21150000,0.19990000,0.19990000,0.20130000,0.20130000,928837.51000000,928837.51000000
2020-06-04,0.20980000,0.20980000,0.21090000,0.21090000,0.19750000,0.19750000,0.20430000,0.20430000,1115972.95000000,1115972.95000000
2020-06-03,0.21060000,0.21060000,0.22150000,0.22150000,0.20500000,0.20500000,0.20920000,0.20920000,1900751.37000000,1900751.37000000
2020-06-02,0.19280000,0.19280000,0.22140000,0.22140000,0.18920000,0.18920000,0.21060000,0.21060000,3536036.81000000,3536036.81000000
2020-06-01,0.18270000,0.18270000,0.19830000,0.19830000,0.18050000,0.18050000,0.19220000,0.19220000,1416101.37000000,1416101.37000000
2020-05-31,0.19500000,0.19500000,0.20180000,0.20180000,0.17990000,0.17990000,0.18280000,0.18280000,1614381.99000000,1614381.99000000
2020-05-30,0.19490000,0.19490000,0.19700000,0.19700000,0.19100000,0.19100000,0.19490000,0.19490000,962203.17000000,962203.17000000
2020-05-29,0.18080000,0.18080000,0.19990000,0.19990000,0.18060000,0.18060000,0.19490000,0.19490000,1476850.76000000,1476850.76000000
2020-05-28,0.18380000,0.18380000,0.18390000,0.18390000,0.17650000,0.17650000,0.18110000,0.18110000,1060545.46000000,1060545.46000000
2020-05-27,0.18130000,0.18130000,0.18600000,0.18600000,0.17300000,0.17300000,0.18410000,0.18410000,1291894.34000000,1291894.34000000
2020-05-26,0.18520000,0.18520000,0.20000000,0.20000000,0.17740000,0.17740000,0.18140000,0.18140000,2183626.88000000,2183626.88000000
2020-05-25,0.17340000,0.17340000,0.18750000,0.18750000,0.17100000,0.17100000,0.18450000,0.18450000,2091231.82000000,2091231.82000000
2020-05-24,0.17440000,0.17440000,0.18500000,0.18500000,0.16910000,0.16910000,0.17390000,0.17390000,2313457.82000000,2313457.82000000
2020-05-23,0.17750000,0.17750000,0.17850000,0.17850000,0.17150000,0.17150000,0.17430000,0.17430000,813243.48000000,813243.48000000
2020-05-22,0.17230000,0.17230000,0.18360000,0.18360000,0.16550000,0.16550000,0.17760000,0.17760000,1854112.43000000,1854112.43000000
2020-05-21,0.16650000,0.16650000,0.18900000,0.18900000,0.16150000,0.16150000,0.17230000,0.17230000,3065723.33000000,3065723.33000000
2020-05-20,0.16450000,0.16450000,0.17500000,0.17500000,0.16050000,0.16050000,0.16630000,0.16630000,1395038.29000000,1395038.29000000
2020-05-19,0.16820000,0.16820000,0.16820000,0.16820000,0.16210000,0.16210000,0.16450000,0.16450000,540482.04000000,540482.04000000
2020-05-18,0.17010000,0.17010000,0.17380000,0.17380000,0.16470000,0.16470000,0.16830000,0.16830000,983017.05000000,983017.05000000
2020-05-17,0.15670000,0.15670000,0.18190000,0.18190000,0.15600000,0.15600000,0.17010000,0.17010000,2832572.75000000,2832572.75000000
2020-05-16,0.15110000,0.15110000,0.16230000,0.16230000,0.15000000,0.15000000,0.15680000,0.15680000,588464.07000000,588464.07000000
2020-05-15,0.15460000,0.15460000,0.16110000,0.16110000,0.14940000,0.14940000,0.15160000,0.15160000,965894.58000000,965894.58000000
2020-05-14,0.15790000,0.15790000,0.16520000,0.16520000,0.15430000,0.15430000,0.15500000,0.15500000,1256125.62000000,1256125.62000000
2020-05-13,0.14510000,0.14510000,0.16000000,0.16000000,0.14450000,0.14450000,0.15760000,0.15760000,1675334.99000000,1675334.99000000
2020-05-12,0.13920000,0.13920000,0.14730000,0.14730000,0.13820000,0.13820000,0.14500000,0.14500000,352456.04000000,352456.04000000
2020-05-11,0.14350000,0.14350000,0.14880000,0.14880000,0.13160000,0.13160000,0.13940000,0.13940000,1035961.17000000,1035961.17000000
2020-05-10,0.16100000,0.16100000,0.16140000,0.16140000,0.13000000,0.13000000,0.14340000,0.14340000,1116200.34000000,1116200.34000000
2020-05-09,0.16260000,0.16260000,0.17000000,0.17000000,0.16100000,0.16100000,0.16100000,0.16100000,834499.74000000,834499.74000000
2020-05-08,0.15300000,0.15300000,0.16780000,0.16780000,0.15090000,0.15090000,0.16260000,0.16260000,1433922.03000000,1433922.03000000
2020-05-07,0.15130000,0.15130000,0.16000000,0.16000000,0.14840000,0.14840000,0.15300000,0.15300000,611763.40000000,611763.40000000
2020-05-06,0.15680000,0.15680000,0.16040000,0.16040000,0.15070000,0.15070000,0.15200000,0.15200000,364243.09000000,364243.09000000
2020-05-05,0.15600000,0.15600000,0.16300000,0.16300000,0.15230000,0.15230000,0.15680000,0.15680000,571097.78000000,571097.78000000
2020-05-04,0.16160000,0.16160000,0.16290000,0.16290000,0.14890000,0.14890000,0.15600000,0.15600000,807076.19000000,807076.19000000
2020-05-03,0.16660000,0.16660000,0.16880000,0.16880000,0.15960000,0.15960000,0.16160000,0.16160000,447481.06000000,447481.06000000
2020-05-02,0.16390000,0.16390000,0.16650000,0.16650000,0.16100000,0.16100000,0.16650000,0.16650000,508933.23000000,508933.23000000
2020-05-01,0.16160000,0.16160000,0.16890000,0.16890000,0.16000000,0.16000000,0.16430000,0.16430000,682277.34000000,682277.34000000
2020-04-30,0.16620000,0.16620000,0.17250000,0.17250000,0.15730000,0.15730000,0.16150000,0.16150000,1186171.11000000,1186171.11000000
