,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,0.64810000,0.64810000,0.64820000,0.64820000,0.62320000,0.62320000,0.62500000,0.62500000,585644.01000000,585644.01000000
2020-08-31,0.61020000,0.61020000,0.65930000,0.65930000,0.59950000,0.59950000,0.65160000,0.65160000,1975170.78000000,1975170.78000000
2020-08-30,0.62450000,0.62450000,0.63380000,0.63380000,0.60100000,0.60100000,0.60850000,0.60850000,825673.06000000,825673.06000000
2020-08-29,0.62800000,0.62800000,0.66200000,0.66200000,0.62190000,0.62190000,0.62510000,0.62510000,1249273.38000000,1249273.38000000
2020-08-28,0.58830000,0.58830000,0.63630000,0.63630000,0.58440000,0.58440000,0.62730000,0.62730000,1557091.91000000,1557091.91000000
2020-08-27,0.62850000,0.62850000,0.65260000,0.65260000,0.56850000,0.56850000,0.58830000,0.58830000,2478709.69000000,2478709.69000000
2020-08-26,0.66680000,0.66680000,0.68020000,0.68020000,0.62850000,0.62850000,0.63030000,0.63030000,1762235.75000000,1762235.75000000
2020-08-25,0.69400000,0.69400000,0.70270000,0.70270000,0.62660000,0.62660000,0.66480000,0.66480000,2079109.65000000,2079109.65000000
2020-08-24,0.71020000,0.71020000,0.74150000,0.74150000,0.69150000,0.69150000,0.69430000,0.69430000,1559079.68000000,1559079.68000000
2020-08-23,0.74690000,0.74690000,0.75050000,0.75050000,0.69580000,0.69580000,0.71010000,0.71010000,2136725.62000000,2136725.62000000
2020-08-22,0.64170000,0.64170000,0.76390000,0.76390000,0.60400000,0.60400000,0.74690000,0.74690000,2295793.39000000,2295793.39000000
2020-08-21,0.67050000,0.67050000,0.74100000,0.74100000,0.62510000,0.62510000,0.64180000,0.64180000,5289873.32000000,5289873.32000000
2020-08-20,0.60090000,0.60090000,0.68000000,0.68000000,0.59410000,0.59410000,0.66820000,0.66820000,3004547.58000000,3004547.58000000
2020-08-19,0.64060000,0.64060000,0.66990000,0.66990000,0.53270000,0.53270000,0.59900000,0.59900000,6628913.01000000,6628913.01000000
2020-08-18,0.55240000,0.55240000,0.67350000,0.67350000,0.55240000,0.55240000,0.64060000,0.64060000,6242502.84000000,6242502.84000000
2020-08-17,0.57090000,0.57090000,0.59990000,0.59990000,0.55030000,0.55030000,0.55360000,0.55360000,2156061.91000000,2156061.91000000
2020-08-16,0.53730000,0.53730000,0.58350000,0.58350000,0.52680000,0.52680000,0.57120000,0.57120000,2262388.45000000,2262388.45000000
2020-08-15,0.54870000,0.54870000,0.57780000,0.57780000,0.52680000,0.52680000,0.53730000,0.53730000,1782774.96000000,1782774.96000000
2020-08-14,0.58150000,0.58150000,0.60100000,0.60100000,0.53950000,0.53950000,0.54660000,0.54660000,3033744.51000000,3033744.51000000
2020-08-13,0.50260000,0.50260000,0.59600000,0.59600000,0.48070000,0.48070000,0.58090000,0.58090000,6925314.73000000,6925314.73000000
2020-08-12,0.47990000,0.47990000,0.50460000,0.50460000,0.45440000,0.45440000,0.50270000,0.50270000,1396899.10000000,1396899.10000000
2020-08-11,0.51080000,0.51080000,0.53740000,0.53740000,0.45710000,0.45710000,0.47990000,0.47990000,2136597.64000000,2136597.64000000
2020-08-10,0.49000000,0.49000000,0.52640000,0.52640000,0.46610000,0.46610000,0.51070000,0.51070000,1843122.13000000,1843122.13000000
2020-08-09,0.48590000,0.48590000,0.50050000,0.50050000,0.46200000,0.46200000,0.48990000,0.48990000,1742132.40000000,1742132.40000000
2020-08-08,0.44650000,0.44650000,0.49140000,0.49140000,0.44470000,0.44470000,0.48430000,0.48430000,1746803.53000000,1746803.53000000
2020-08-07,0.44760000,0.44760000,0.45900000,0.45900000,0.42450000,0.42450000,0.44680000,0.44680000,979758.26000000,979758.26000000
2020-08-06,0.43070000,0.43070000,0.45320000,0.45320000,0.42590000,0.42590000,0.44760000,0.44760000,953454.45000000,953454.45000000
2020-08-05,0.44390000,0.44390000,0.44940000,0.44940000,0.42650000,0.42650000,0.43070000,0.43070000,605422.46000000,605422.46000000
2020-08-04,0.42930000,0.42930000,0.45000000,0.45000000,0.42510000,0.42510000,0.44430000,0.44430000,821526.84000000,821526.84000000
2020-08-03,0.43360000,0.43360000,0.43990000,0.43990000,0.41800000,0.41800000,0.42910000,0.42910000,745123.83000000,745123.83000000
2020-08-02,0.43330000,0.43330000,0.44760000,0.44760000,0.39000000,0.39000000,0.43350000,0.43350000,1028820.54000000,1028820.54000000
2020-08-01,0.42500000,0.42500000,0.43380000,0.43380000,0.41370000,0.41370000,0.43230000,0.43230000,574172.38000000,574172.38000000
2020-07-31,0.43880000,0.43880000,0.44120000,0.44120000,0.41420000,0.41420000,0.42460000,0.42460000,532191.39000000,532191.39000000
2020-07-30,0.43170000,0.43170000,0.44760000,0.44760000,0.42000000,0.42000000,0.43710000,0.43710000,815596.98000000,815596.98000000
2020-07-29,0.44420000,0.44420000,0.44770000,0.44770000,0.42150000,0.42150000,0.42980000,0.42980000,614859.80000000,614859.80000000
2020-07-28,0.41250000,0.41250000,0.45000000,0.45000000,0.40690000,0.40690000,0.44620000,0.44620000,829584.29000000,829584.29000000
2020-07-27,0.46750000,0.46750000,0.46760000,0.46760000,0.39500000,0.39500000,0.41250000,0.41250000,1629676.62000000,1629676.62000000
2020-07-26,0.47560000,0.47560000,0.49260000,0.49260000,0.45010000,0.45010000,0.46750000,0.46750000,830041.16000000,830041.16000000
2020-07-25,0.48780000,0.48780000,0.50020000,0.50020000,0.47240000,0.47240000,0.47560000,0.47560000,980752.29000000,980752.29000000
2020-07-24,0.51620000,0.51620000,0.51820000,0.51820000,0.48440000,0.48440000,0.48780000,0.48780000,1208324.92000000,1208324.92000000
2020-07-23,0.53560000,0.53560000,0.54600000,0.54600000,0.49000000,0.49000000,0.51620000,0.51620000,1945797.54000000,1945797.54000000
2020-07-22,0.47810000,0.47810000,0.54960000,0.54960000,0.47450000,0.47450000,0.53560000,0.53560000,1644958.74000000,1644958.74000000
2020-07-21,0.47900000,0.47900000,0.51600000,0.51600000,0.47250000,0.47250000,0.47810000,0.47810000,1298665.23000000,1298665.23000000
2020-07-20,0.45020000,0.45020000,0.51510000,0.51510000,0.44550000,0.44550000,0.47870000,0.47870000,2025307.70000000,2025307.70000000
2020-07-19,0.46330000,0.46330000,0.46840000,0.46840000,0.44390000,0.44390000,0.45180000,0.45180000,1010618.53000000,1010618.53000000
2020-07-18,0.45450000,0.45450000,0.52500000,0.52500000,0.45400000,0.45400000,0.46440000,0.46440000,3608843.00000000,3608843.00000000
2020-07-17,0.42260000,0.42260000,0.49000000,0.49000000,0.40520000,0.40520000,0.45310000,0.45310000,1618384.45000000,1618384.45000000
2020-07-16,0.41590000,0.41590000,0.42850000,0.42850000,0.38120000,0.38120000,0.42040000,0.42040000,1046300.34000000,1046300.34000000
2020-07-15,0.43350000,0.43350000,0.44140000,0.44140000,0.40590000,0.40590000,0.41610000,0.41610000,780388.37000000,780388.37000000
2020-07-14,0.43000000,0.43000000,0.45070000,0.45070000,0.41350000,0.41350000,0.43350000,0.43350000,745917.44000000,745917.44000000
2020-07-13,0.48370000,0.48370000,0.48410000,0.48410000,0.41510000,0.41510000,0.42680000,0.42680000,1582533.40000000,1582533.40000000
2020-07-12,0.42040000,0.42040000,0.49220000,0.49220000,0.41500000,0.41500000,0.48390000,0.48390000,3885164.77000000,3885164.77000000
