,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,6.31000000,6.31000000,6.34600000,6.34600000,6.23100000,6.23100000,6.34100000,6.34100000,5932.38300000,5932.38300000
2020-08-31,6.55800000,6.55800000,6.61800000,6.61800000,6.28000000,6.28000000,6.31400000,6.31400000,56871.88200000,56871.88200000
2020-08-30,6.36000000,6.36000000,6.73200000,6.73200000,6.30500000,6.30500000,6.54200000,6.54200000,67475.26500000,67475.26500000
2020-08-29,6.14800000,6.14800000,6.38700000,6.38700000,6.07400000,6.07400000,6.36900000,6.36900000,54035.01200000,54035.01200000
2020-08-28,5.94000000,5.94000000,6.28400000,6.28400000,5.83800000,5.83800000,6.14800000,6.14800000,41522.29700000,41522.29700000
2020-08-27,6.30100000,6.30100000,6.32300000,6.32300000,5.73000000,5.73000000,5.96800000,5.96800000,64228.72500000,64228.72500000
2020-08-26,6.19000000,6.19000000,6.42200000,6.42200000,6.08500000,6.08500000,6.31200000,6.31200000,45862.45900000,45862.45900000
2020-08-25,6.62100000,6.62100000,6.64900000,6.64900000,6.00500000,6.00500000,6.21600000,6.21600000,75812.34000000,75812.34000000
2020-08-24,6.67500000,6.67500000,6.80600000,6.80600000,6.54900000,6.54900000,6.62300000,6.62300000,88190.96200000,88190.96200000
2020-08-23,6.96100000,6.96100000,7.19900000,7.19900000,6.62000000,6.62000000,6.70000000,6.70000000,68864.44900000,68864.44900000
2020-08-22,6.62200000,6.62200000,7.15000000,7.15000000,6.34700000,6.34700000,6.98400000,6.98400000,102781.29300000,102781.29300000
2020-08-21,6.79800000,6.79800000,7.20200000,7.20200000,6.55000000,6.55000000,6.62200000,6.62200000,128461.86900000,128461.86900000
2020-08-20,6.51000000,6.51000000,6.84100000,6.84100000,6.16000000,6.16000000,6.79800000,6.79800000,54106.49300000,54106.49300000
2020-08-19,6.76900000,6.76900000,6.87000000,6.87000000,6.16300000,6.16300000,6.51000000,6.51000000,101914.36800000,101914.36800000
2020-08-18,6.87000000,6.87000000,7.13700000,7.13700000,6.63100000,6.63100000,6.76700000,6.76700000,80944.32500000,80944.32500000
2020-08-17,6.86800000,6.86800000,7.01500000,7.01500000,6.75200000,6.75200000,6.86800000,6.86800000,109595.08000000,109595.08000000
2020-08-16,6.84700000,6.84700000,7.03100000,7.03100000,6.70000000,6.70000000,6.86800000,6.86800000,78646.53600000,78646.53600000
2020-08-15,7.12100000,7.12100000,7.14200000,7.14200000,6.60000000,6.60000000,6.84700000,6.84700000,112133.94800000,112133.94800000
2020-08-14,7.54900000,7.54900000,7.63600000,7.63600000,6.96400000,6.96400000,7.12100000,7.12100000,88142.14500000,88142.14500000
2020-08-13,7.12800000,7.12800000,7.54900000,7.54900000,6.85000000,6.85000000,7.54900000,7.54900000,118677.44800000,118677.44800000
2020-08-12,6.83800000,6.83800000,7.20600000,7.20600000,6.45900000,6.45900000,7.12700000,7.12700000,105299.63400000,105299.63400000
2020-08-11,7.40900000,7.40900000,7.46500000,7.46500000,6.50600000,6.50600000,6.81200000,6.81200000,172525.07600000,172525.07600000
2020-08-10,7.60900000,7.60900000,7.65200000,7.65200000,7.32600000,7.32600000,7.40900000,7.40900000,181562.51200000,181562.51200000
2020-08-09,8.26400000,8.26400000,8.29600000,8.29600000,7.49200000,7.49200000,7.61300000,7.61300000,120111.28400000,120111.28400000
2020-08-08,7.04600000,7.04600000,8.26900000,8.26900000,7.01300000,7.01300000,8.26900000,8.26900000,194438.08700000,194438.08700000
2020-08-07,7.30900000,7.30900000,7.78000000,7.78000000,6.72300000,6.72300000,7.07700000,7.07700000,102985.60100000,102985.60100000
2020-08-06,6.84900000,6.84900000,7.73000000,7.73000000,6.74100000,6.74100000,7.35700000,7.35700000,132911.88900000,132911.88900000
2020-08-05,6.47800000,6.47800000,6.94000000,6.94000000,6.43500000,6.43500000,6.82900000,6.82900000,87351.27100000,87351.27100000
2020-08-04,6.54900000,6.54900000,6.72500000,6.72500000,6.26900000,6.26900000,6.45400000,6.45400000,72208.29700000,72208.29700000
2020-08-03,6.28500000,6.28500000,6.76800000,6.76800000,6.15100000,6.15100000,6.51600000,6.51600000,89107.62800000,89107.62800000
2020-08-02,6.79200000,6.79200000,7.43300000,7.43300000,5.66100000,5.66100000,6.30200000,6.30200000,225799.44000000,225799.44000000
2020-08-01,5.64800000,5.64800000,6.90900000,6.90900000,5.59800000,5.59800000,6.79200000,6.79200000,262016.63900000,262016.63900000
2020-07-31,5.53300000,5.53300000,5.65000000,5.65000000,5.46500000,5.46500000,5.63500000,5.63500000,29833.55200000,29833.55200000
2020-07-30,5.58200000,5.58200000,5.69400000,5.69400000,5.47000000,5.47000000,5.54800000,5.54800000,35034.01300000,35034.01300000
2020-07-29,5.57300000,5.57300000,5.71000000,5.71000000,5.49000000,5.49000000,5.58200000,5.58200000,48657.11300000,48657.11300000
2020-07-28,5.64800000,5.64800000,5.75100000,5.75100000,5.47500000,5.47500000,5.57500000,5.57500000,58792.65200000,58792.65200000
2020-07-27,5.69200000,5.69200000,5.83300000,5.83300000,5.30000000,5.30000000,5.62000000,5.62000000,120349.48400000,120349.48400000
2020-07-26,5.84000000,5.84000000,6.09900000,6.09900000,5.66600000,5.66600000,5.69200000,5.69200000,86307.02600000,86307.02600000
2020-07-25,5.87600000,5.87600000,5.98400000,5.98400000,5.80000000,5.80000000,5.83100000,5.83100000,43295.92200000,43295.92200000
2020-07-24,6.02900000,6.02900000,6.03100000,6.03100000,5.79200000,5.79200000,5.86000000,5.86000000,48740.14100000,48740.14100000
2020-07-23,5.92600000,5.92600000,6.28900000,6.28900000,5.82000000,5.82000000,6.03100000,6.03100000,75174.94500000,75174.94500000
2020-07-22,5.98800000,5.98800000,6.18800000,6.18800000,5.75600000,5.75600000,5.92600000,5.92600000,82135.32700000,82135.32700000
2020-07-21,5.33600000,5.33600000,6.02500000,6.02500000,5.20000000,5.20000000,5.96000000,5.96000000,120973.21300000,120973.21300000
2020-07-20,5.16900000,5.16900000,6.47000000,6.47000000,5.14400000,5.14400000,5.33700000,5.33700000,96969.91600000,96969.91600000
2020-07-19,5.22400000,5.22400000,5.26800000,5.26800000,5.01000000,5.01000000,5.16600000,5.16600000,50590.65600000,50590.65600000
2020-07-18,5.26000000,5.26000000,5.35000000,5.35000000,5.21300000,5.21300000,5.24800000,5.24800000,30690.05200000,30690.05200000
2020-07-17,5.14800000,5.14800000,5.43900000,5.43900000,5.04600000,5.04600000,5.26000000,5.26000000,43101.06500000,43101.06500000
2020-07-16,5.41600000,5.41600000,5.51000000,5.51000000,4.95000000,4.95000000,5.14900000,5.14900000,89296.39900000,89296.39900000
2020-07-15,5.51000000,5.51000000,5.55600000,5.55600000,5.27500000,5.27500000,5.41600000,5.41600000,61638.73400000,61638.73400000
2020-07-14,5.66400000,5.66400000,5.66400000,5.66400000,5.24400000,5.24400000,5.52000000,5.52000000,57184.99300000,57184.99300000
