,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,78.28000000,78.28000000,78.68000000,78.68000000,77.45000000,77.45000000,78.57000000,78.57000000,6661.16553000,6661.16553000
2020-08-31,81.14000000,81.14000000,81.61000000,81.61000000,77.23000000,77.23000000,78.29000000,78.29000000,171079.73877000,171079.73877000
2020-08-30,78.66000000,78.66000000,82.48000000,82.48000000,77.99000000,77.99000000,81.11000000,81.11000000,235604.66685000,235604.66685000
2020-08-29,76.20000000,76.20000000,80.73000000,80.73000000,74.92000000,74.92000000,78.68000000,78.68000000,189400.87742000,189400.87742000
2020-08-28,72.19000000,72.19000000,77.07000000,77.07000000,71.00000000,71.00000000,76.24000000,76.24000000,240097.83573000,240097.83573000
2020-08-27,74.99000000,74.99000000,75.56000000,75.56000000,70.29000000,70.29000000,72.13000000,72.13000000,295518.87407000,295518.87407000
2020-08-26,72.93000000,72.93000000,77.10000000,77.10000000,72.86000000,72.86000000,75.00000000,75.00000000,310801.24591000,310801.24591000
2020-08-25,80.27000000,80.27000000,82.56000000,82.56000000,71.19000000,71.19000000,72.93000000,72.93000000,539701.06081000,539701.06081000
2020-08-24,84.40000000,84.40000000,84.78000000,84.78000000,78.90000000,78.90000000,80.26000000,80.26000000,229856.69528000,229856.69528000
2020-08-23,76.86000000,76.86000000,84.50000000,84.50000000,74.20000000,74.20000000,84.36000000,84.36000000,323197.07354000,323197.07354000
2020-08-22,73.52000000,73.52000000,77.93000000,77.93000000,71.50000000,71.50000000,76.88000000,76.88000000,206926.56248000,206926.56248000
2020-08-21,78.86000000,78.86000000,81.53000000,81.53000000,73.15000000,73.15000000,73.56000000,73.56000000,341536.93996000,341536.93996000
2020-08-20,76.30000000,76.30000000,80.09000000,80.09000000,75.53000000,75.53000000,78.87000000,78.87000000,267234.21965000,267234.21965000
2020-08-19,83.15000000,83.15000000,84.55000000,84.55000000,72.73000000,72.73000000,76.30000000,76.30000000,442712.46491000,442712.46491000
2020-08-18,86.74000000,86.74000000,88.93000000,88.93000000,82.00000000,82.00000000,83.14000000,83.14000000,306993.21401000,306993.21401000
2020-08-17,85.30000000,85.30000000,90.29000000,90.29000000,82.87000000,82.87000000,86.74000000,86.74000000,371666.61202000,371666.61202000
2020-08-16,85.14000000,85.14000000,86.44000000,86.44000000,81.06000000,81.06000000,85.30000000,85.30000000,276974.63875000,276974.63875000
2020-08-15,84.98000000,84.98000000,88.55000000,88.55000000,83.73000000,83.73000000,85.12000000,85.12000000,287565.10787000,287565.10787000
2020-08-14,87.35000000,87.35000000,87.79000000,87.79000000,82.89000000,82.89000000,85.03000000,85.03000000,277856.41103000,277856.41103000
2020-08-13,83.55000000,83.55000000,88.00000000,88.00000000,77.37000000,77.37000000,87.40000000,87.40000000,426046.28222000,426046.28222000
2020-08-12,80.88000000,80.88000000,84.89000000,84.89000000,76.20000000,76.20000000,83.52000000,83.52000000,439763.90023000,439763.90023000
2020-08-11,89.02000000,89.02000000,90.06000000,90.06000000,78.56000000,78.56000000,80.88000000,80.88000000,411959.87212000,411959.87212000
2020-08-10,92.02000000,92.02000000,95.48000000,95.48000000,87.82000000,87.82000000,89.01000000,89.01000000,282726.04132000,282726.04132000
2020-08-09,97.06000000,97.06000000,97.45000000,97.45000000,89.48000000,89.48000000,92.01000000,92.01000000,217400.16143000,217400.16143000
2020-08-08,94.41000000,94.41000000,99.18000000,99.18000000,91.78000000,91.78000000,97.08000000,97.08000000,209024.58089000,209024.58089000
2020-08-07,96.77000000,96.77000000,97.65000000,97.65000000,87.05000000,87.05000000,94.42000000,94.42000000,402314.49164000,402314.49164000
2020-08-06,97.46000000,97.46000000,102.74000000,102.74000000,92.01000000,92.01000000,96.75000000,96.75000000,495676.20001000,495676.20001000
2020-08-05,84.94000000,84.94000000,98.07000000,98.07000000,84.92000000,84.92000000,97.46000000,97.46000000,512489.74641000,512489.74641000
2020-08-04,82.33000000,82.33000000,85.31000000,85.31000000,80.17000000,80.17000000,84.93000000,84.93000000,212735.25361000,212735.25361000
2020-08-03,84.27000000,84.27000000,85.94000000,85.94000000,81.31000000,81.31000000,82.30000000,82.30000000,331263.28638000,331263.28638000
2020-08-02,89.43000000,89.43000000,91.31000000,91.31000000,73.65000000,73.65000000,84.31000000,84.31000000,743770.81624000,743770.81624000
2020-08-01,74.90000000,74.90000000,95.00000000,95.00000000,73.96000000,73.96000000,89.37000000,89.37000000,655401.06347000,655401.06347000
2020-07-31,70.51000000,70.51000000,74.95000000,74.95000000,70.30000000,70.30000000,74.90000000,74.90000000,203173.61311000,203173.61311000
2020-07-30,72.12000000,72.12000000,72.59000000,72.59000000,69.48000000,69.48000000,70.48000000,70.48000000,177255.73089000,177255.73089000
2020-07-29,70.60000000,70.60000000,74.40000000,74.40000000,70.15000000,70.15000000,72.13000000,72.13000000,225725.11792000,225725.11792000
2020-07-28,70.80000000,70.80000000,73.42000000,73.42000000,68.43000000,68.43000000,70.57000000,70.57000000,195825.28596000,195825.28596000
2020-07-27,66.18000000,66.18000000,72.35000000,72.35000000,66.13000000,66.13000000,70.77000000,70.77000000,353054.17529000,353054.17529000
2020-07-26,65.70000000,65.70000000,67.26000000,67.26000000,63.76000000,63.76000000,66.15000000,66.15000000,196560.49726000,196560.49726000
2020-07-25,63.01000000,63.01000000,66.09000000,66.09000000,62.86000000,62.86000000,65.69000000,65.69000000,147549.67432000,147549.67432000
2020-07-24,63.50000000,63.50000000,64.72000000,64.72000000,61.65000000,61.65000000,63.01000000,63.01000000,165385.97764000,165385.97764000
2020-07-23,64.27000000,64.27000000,65.00000000,65.00000000,62.84000000,62.84000000,63.51000000,63.51000000,116787.56468000,116787.56468000
2020-07-22,62.41000000,62.41000000,64.77000000,64.77000000,60.83000000,60.83000000,64.28000000,64.28000000,202688.63920000,202688.63920000
2020-07-21,57.05000000,57.05000000,62.60000000,62.60000000,56.88000000,56.88000000,62.45000000,62.45000000,187634.05065000,187634.05065000
2020-07-20,58.39000000,58.39000000,58.58000000,58.58000000,56.86000000,56.86000000,57.05000000,57.05000000,85821.78851000,85821.78851000
2020-07-19,59.06000000,59.06000000,59.48000000,59.48000000,56.79000000,56.79000000,58.38000000,58.38000000,83685.37427000,83685.37427000
2020-07-18,59.49000000,59.49000000,59.91000000,59.91000000,58.04000000,58.04000000,59.06000000,59.06000000,86914.04630000,86914.04630000
2020-07-17,59.09000000,59.09000000,60.38000000,60.38000000,57.89000000,57.89000000,59.50000000,59.50000000,148038.81846000,148038.81846000
2020-07-16,61.14000000,61.14000000,61.72000000,61.72000000,57.11000000,57.11000000,59.10000000,59.10000000,199644.60610000,199644.60610000
2020-07-15,62.03000000,62.03000000,63.16000000,63.16000000,60.39000000,60.39000000,61.14000000,61.14000000,175563.20694000,175563.20694000
2020-07-14,61.26000000,61.26000000,63.03000000,63.03000000,58.85000000,58.85000000,62.02000000,62.02000000,182144.01934000,182144.01934000
2020-07-13,58.70000000,58.70000000,63.95000000,63.95000000,58.52000000,58.52000000,61.26000000,61.26000000,353065.49046000,353065.49046000
2020-07-12,55.82000000,55.82000000,61.10000000,61.10000000,55.77000000,55.77000000,58.65000000,58.65000000,246742.20958000,246742.20958000
2020-07-11,56.10000000,56.10000000,56.68000000,56.68000000,54.99000000,54.99000000,55.84000000,55.84000000,72865.60253000,72865.60253000
2020-07-10,56.86000000,56.86000000,56.89000000,56.89000000,54.12000000,54.12000000,56.07000000,56.07000000,87610.19183000,87610.19183000
2020-07-09,57.93000000,57.93000000,58.87000000,58.87000000,55.52000000,55.52000000,56.86000000,56.86000000,126479.70333000,126479.70333000
2020-07-08,55.09000000,55.09000000,58.79000000,58.79000000,54.26000000,54.26000000,57.94000000,57.94000000,196681.73374000,196681.73374000
2020-07-07,55.54000000,55.54000000,55.91000000,55.91000000,53.61000000,53.61000000,55.08000000,55.08000000,105273.76567000,105273.76567000
2020-07-06,51.20000000,51.20000000,55.92000000,55.92000000,51.16000000,51.16000000,55.55000000,55.55000000,169445.75227000,169445.75227000
2020-07-05,51.42000000,51.42000000,51.63000000,51.63000000,50.04000000,50.04000000,51.16000000,51.16000000,77594.45786000,77594.45786000
2020-07-04,51.10000000,51.10000000,51.84000000,51.84000000,50.64000000,50.64000000,51.43000000,51.43000000,89767.30718000,89767.30718000
2020-07-03,51.16000000,51.16000000,51.88000000,51.88000000,50.60000000,50.60000000,51.11000000,51.11000000,110236.71278000,110236.71278000
2020-07-02,51.85000000,51.85000000,53.69000000,53.69000000,49.64000000,49.64000000,51.18000000,51.18000000,216227.36651000,216227.36651000
2020-07-01,51.43000000,51.43000000,52.50000000,52.50000000,51.17000000,51.17000000,51.86000000,51.86000000,107712.87679000,107712.87679000
2020-06-30,52.44000000,52.44000000,52.73000000,52.73000000,50.92000000,50.92000000,51.44000000,51.44000000,117478.62413000,117478.62413000
2020-06-29,51.82000000,51.82000000,53.46000000,53.46000000,51.41000000,51.41000000,52.42000000,52.42000000,185930.95355000,185930.95355000
2020-06-28,52.22000000,52.22000000,54.00000000,54.00000000,51.01000000,51.01000000,51.81000000,51.81000000,181805.10921000,181805.10921000
2020-06-27,55.70000000,55.70000000,55.74000000,55.74000000,50.85000000,50.85000000,52.24000000,52.24000000,139596.35329000,139596.35329000
2020-06-26,55.83000000,55.83000000,56.76000000,56.76000000,54.44000000,54.44000000,55.70000000,55.70000000,130497.27168000,130497.27168000
2020-06-25,55.16000000,55.16000000,56.84000000,56.84000000,53.02000000,53.02000000,55.81000000,55.81000000,156304.19165000,156304.19165000
2020-06-24,58.24000000,58.24000000,59.65000000,59.65000000,53.20000000,53.20000000,55.20000000,55.20000000,311980.07303000,311980.07303000
2020-06-23,53.52000000,53.52000000,63.04000000,63.04000000,52.43000000,52.43000000,58.23000000,58.23000000,405043.81877000,405043.81877000
2020-06-22,50.50000000,50.50000000,53.67000000,53.67000000,50.30000000,50.30000000,53.53000000,53.53000000,98544.08906000,98544.08906000
2020-06-21,51.41000000,51.41000000,52.11000000,52.11000000,50.17000000,50.17000000,50.51000000,50.51000000,50446.63973000,50446.63973000
2020-06-20,51.39000000,51.39000000,51.68000000,51.68000000,50.24000000,50.24000000,51.40000000,51.40000000,43184.02837000,43184.02837000
2020-06-19,51.95000000,51.95000000,52.44000000,52.44000000,50.88000000,50.88000000,51.41000000,51.41000000,54267.30426000,54267.30426000
2020-06-18,52.91000000,52.91000000,53.38000000,53.38000000,51.21000000,51.21000000,51.95000000,51.95000000,55588.00972000,55588.00972000
2020-06-17,52.97000000,52.97000000,53.56000000,53.56000000,51.57000000,51.57000000,52.91000000,52.91000000,74637.31188000,74637.31188000
2020-06-16,52.20000000,52.20000000,53.80000000,53.80000000,51.74000000,51.74000000,52.97000000,52.97000000,109676.06241000,109676.06241000
2020-06-15,51.06000000,51.06000000,53.15000000,53.15000000,48.21000000,48.21000000,52.20000000,52.20000000,161500.26479000,161500.26479000
2020-06-14,52.81000000,52.81000000,52.98000000,52.98000000,50.48000000,50.48000000,51.10000000,51.10000000,59972.11993000,59972.11993000
2020-06-13,51.61000000,51.61000000,53.04000000,53.04000000,50.82000000,50.82000000,52.81000000,52.81000000,67057.72590000,67057.72590000
2020-06-12,49.63000000,49.63000000,52.49000000,52.49000000,48.24000000,48.24000000,51.61000000,51.61000000,117138.00585000,117138.00585000
