,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2020-09-01,8.49700000,8.49700000,8.53800000,8.53800000,8.30900000,8.30900000,8.45100000,8.45100000,3334.86400000,3334.86400000
2020-08-31,8.72300000,8.72300000,8.80200000,8.80200000,8.10000000,8.10000000,8.48100000,8.48100000,28487.11900000,28487.11900000
2020-08-30,8.50600000,8.50600000,8.84800000,8.84800000,8.40000000,8.40000000,8.72100000,8.72100000,25882.22200000,25882.22200000
2020-08-29,8.36700000,8.36700000,8.59500000,8.59500000,8.28600000,8.28600000,8.50600000,8.50600000,23780.81400000,23780.81400000
2020-08-28,8.34900000,8.34900000,8.70000000,8.70000000,8.14000000,8.14000000,8.36700000,8.36700000,54994.71900000,54994.71900000
2020-08-27,8.79900000,8.79900000,8.84100000,8.84100000,8.22400000,8.22400000,8.34800000,8.34800000,27923.99100000,27923.99100000
2020-08-26,8.73500000,8.73500000,10.50000000,10.50000000,8.62600000,8.62600000,8.80100000,8.80100000,22240.40900000,22240.40900000
2020-08-25,9.44100000,9.44100000,9.52100000,9.52100000,8.36900000,8.36900000,8.75500000,8.75500000,33257.98400000,33257.98400000
2020-08-24,9.30700000,9.30700000,9.51100000,9.51100000,9.19700000,9.19700000,9.44200000,9.44200000,20346.39000000,20346.39000000
2020-08-23,9.76900000,9.76900000,9.80800000,9.80800000,9.21000000,9.21000000,9.34800000,9.34800000,19255.27500000,19255.27500000
2020-08-22,9.57000000,9.57000000,10.22900000,10.22900000,9.10000000,9.10000000,9.76800000,9.76800000,43435.04800000,43435.04800000
2020-08-21,9.58800000,9.58800000,10.81900000,10.81900000,9.50000000,9.50000000,9.56000000,9.56000000,119493.42200000,119493.42200000
2020-08-20,9.06600000,9.06600000,9.58800000,9.58800000,8.97600000,8.97600000,9.56300000,9.56300000,18929.80000000,18929.80000000
2020-08-19,9.46900000,9.46900000,9.65300000,9.65300000,8.72800000,8.72800000,9.02900000,9.02900000,28963.65300000,28963.65300000
2020-08-18,10.04300000,10.04300000,10.19300000,10.19300000,8.67300000,8.67300000,9.51800000,9.51800000,36061.33500000,36061.33500000
2020-08-17,10.01000000,10.01000000,10.39400000,10.39400000,9.80400000,9.80400000,10.03600000,10.03600000,36604.10300000,36604.10300000
2020-08-16,10.04100000,10.04100000,10.10000000,10.10000000,9.52800000,9.52800000,10.01000000,10.01000000,51269.51700000,51269.51700000
2020-08-15,10.46200000,10.46200000,10.56000000,10.56000000,9.89000000,9.89000000,10.06600000,10.06600000,28622.75500000,28622.75500000
2020-08-14,10.24100000,10.24100000,10.65300000,10.65300000,10.10000000,10.10000000,10.46200000,10.46200000,24863.35800000,24863.35800000
2020-08-13,10.53500000,10.53500000,10.57900000,10.57900000,9.78400000,9.78400000,10.28100000,10.28100000,33283.12900000,33283.12900000
2020-08-12,10.55000000,10.55000000,11.26900000,11.26900000,10.09000000,10.09000000,10.49100000,10.49100000,52019.85800000,52019.85800000
2020-08-11,10.35100000,10.35100000,11.23000000,11.23000000,9.85000000,9.85000000,10.55000000,10.55000000,64537.61600000,64537.61600000
2020-08-10,10.49800000,10.49800000,10.90000000,10.90000000,10.00100000,10.00100000,10.35100000,10.35100000,60981.72400000,60981.72400000
2020-08-09,10.92400000,10.92400000,11.30400000,11.30400000,10.20000000,10.20000000,10.49800000,10.49800000,44296.26400000,44296.26400000
2020-08-08,9.87300000,9.87300000,11.48900000,11.48900000,9.86500000,9.86500000,10.90000000,10.90000000,70549.56000000,70549.56000000
2020-08-07,9.48700000,9.48700000,10.16000000,10.16000000,9.41500000,9.41500000,9.87300000,9.87300000,45760.62900000,45760.62900000
